Agri-Park East SMP,Irrigation Zone 16" - 36",Soil Moisture 8",Soil Moisture 16",Soil Moisture 28",Soil Moisture 36",Soil Moisture 48",Soil Moisture 56",Pressure Switch - Calculated
5/23/2020 12:00:00 AM,222.3,76.47,89.76,78.69,53.84,68.44,88.2,1
5/22/2020 12:00:00 AM,223.01,88.27,91.15,77.74,54.12,68.42,88.35,1
5/21/2020 12:00:00 AM,174.31,49.39,58.49,60.48,55.35,69.09,88.44,1
5/20/2020 12:00:00 AM,177.04,44.76,58.97,61.82,56.24,69.33,88.17,1
5/19/2020 12:00:00 AM,179.58,45.12,59.6,62.98,57,69.41,87.97,1
5/18/2020 12:00:00 AM,181.69,45.64,60.2,63.95,57.54,69.34,87.94,1
5/17/2020 12:00:00 AM,184.83,46.61,61.27,65.28,58.28,69.34,87.81,1
5/16/2020 12:00:00 AM,188.81,48.02,62.83,66.88,59.09,69.46,87.62,1
5/15/2020 12:00:00 AM,193.62,49.84,64.91,68.71,60,69.67,87.42,1
5/14/2020 12:00:00 AM,197.9,51.62,66.95,70.27,60.67,69.8,87.28,1
5/13/2020 12:00:00 AM,201.49,53.36,68.83,71.56,61.1,69.8,87.22,1
5/12/2020 12:00:00 AM,205.78,55.76,71.29,72.95,61.54,69.75,87.17,0.922
5/11/2020 12:00:00 AM,209.83,58.42,73.83,74.18,61.82,69.69,87.17,0
5/10/2020 12:00:00 AM,215.42,63,77.59,75.65,62.18,69.62,87.16,0
5/9/2020 12:00:00 AM,222.65,69.23,82.8,77.22,62.62,69.54,87.17,0.222
5/8/2020 12:00:00 AM,229.42,74.7,87.28,79,63.14,69.41,87.24,0.056
5/7/2020 12:00:00 AM,229.11,84.67,87.33,77.2,64.58,69.5,87.35,0.689
5/6/2020 12:00:00 AM,190.54,43.38,56.45,67.02,67.07,70.31,87.34,0.396
5/5/2020 12:00:00 AM,194.84,43.73,57.56,68.6,68.67,70.62,87.08,0.1
5/4/2020 12:00:00 AM,198.91,44.71,58.9,69.94,70.07,70.84,86.86,0.077
5/3/2020 12:00:00 AM,202.82,45.83,60.37,71.12,71.33,70.96,86.66,0.066
5/2/2020 12:00:00 AM,206.24,47.01,61.74,72.12,72.38,70.97,86.47,0
5/1/2020 12:00:00 AM,209.88,48.43,63.4,73.13,73.36,70.93,86.3,0
4/30/2020 12:00:00 AM,214.13,50.73,65.75,74.1,74.28,70.92,86.14,0
4/29/2020 12:00:00 AM,218.32,53.55,68.34,74.97,75.01,70.89,86.03,0
4/28/2020 12:00:00 AM,223.69,57.55,71.96,75.99,75.74,70.84,85.95,0.152
4/27/2020 12:00:00 AM,230.19,62.87,76.7,77.12,76.37,70.82,85.89,0
4/26/2020 12:00:00 AM,235.09,68.33,80.3,78.06,76.73,70.79,85.86,0
4/25/2020 12:00:00 AM,239.16,72.67,83.28,78.9,76.98,70.76,85.84,0
4/24/2020 12:00:00 AM,244.47,76.91,86.86,80.28,77.33,70.74,85.83,0
4/23/2020 12:00:00 AM,251.63,89.48,90.29,83.38,77.96,70.86,85.82,0.645
4/22/2020 12:00:00 AM,210,48.93,58.63,71.73,79.64,72.03,85.9,0.348
4/21/2020 12:00:00 AM,207.93,43.41,55.38,71.79,80.77,72.22,85.86,0
4/20/2020 12:00:00 AM,209.45,43.74,55.69,72.08,81.68,72.29,85.85,0
4/19/2020 12:00:00 AM,211.03,44.08,55.96,72.42,82.65,72.34,85.84,0
4/18/2020 12:00:00 AM,212.85,44.56,56.38,72.77,83.7,72.4,85.84,0
4/17/2020 12:00:00 AM,214.66,45.16,56.85,73.09,84.72,72.47,85.87,0
4/16/2020 12:00:00 AM,216.7,45.72,57.42,73.48,85.8,72.54,85.91,0
4/15/2020 12:00:00 AM,218.76,46.23,58.11,73.88,86.76,72.61,85.94,0
4/14/2020 12:00:00 AM,220.8,46.89,58.88,74.36,87.55,72.68,85.97,0
4/13/2020 12:00:00 AM,222.73,47.61,59.77,74.86,88.11,72.75,86.01,0
4/12/2020 12:00:00 AM,224.03,48.34,60.44,75.25,88.35,72.82,86.07,0
4/11/2020 12:00:00 AM,225.06,48.87,60.97,75.59,88.5,72.88,86.13,0
4/10/2020 12:00:00 AM,226.15,49.39,61.52,75.97,88.66,72.95,86.19,0
