Agri-Park East SMP,Irrigation Zone 16" - 36",Soil Moisture 8",Soil Moisture 16",Soil Moisture 28",Soil Moisture 36",Soil Moisture 48",Soil Moisture 56",Pressure Switch - Calculated
5/28/2020 10:00:00 AM,212.69,63.18,79.18,79.59,53.93,68.68,87.74,1
5/28/2020 9:00:00 AM,213.25,63.75,79.67,79.67,53.92,68.68,87.73,1
5/28/2020 8:00:00 AM,213.66,64.22,80.04,79.71,53.91,68.69,87.74,1
5/28/2020 7:00:00 AM,213.95,64.6,80.29,79.77,53.9,68.67,87.76,1
5/28/2020 6:00:00 AM,214.01,64.8,80.35,79.77,53.89,68.67,87.76,1
5/28/2020 5:00:00 AM,213.99,64.88,80.35,79.76,53.88,68.65,87.77,1
5/28/2020 4:00:00 AM,213.97,65.02,80.34,79.75,53.88,68.65,87.79,1
5/28/2020 3:00:00 AM,213.94,65.13,80.34,79.74,53.86,68.64,87.8,1
5/28/2020 2:00:00 AM,213.92,65.21,80.33,79.74,53.85,68.64,87.81,1
5/28/2020 1:00:00 AM,213.86,65.3,80.28,79.72,53.85,68.62,87.82,1
5/28/2020 12:00:00 AM,213.84,65.36,80.29,79.71,53.84,68.62,87.83,1
5/27/2020 11:00:00 PM,213.79,65.42,80.26,79.7,53.83,68.6,87.84,0.75
5/27/2020 10:00:00 PM,213.73,65.44,80.22,79.69,53.82,68.61,87.85,1
5/27/2020 9:00:00 PM,213.7,65.47,80.2,79.68,53.82,68.59,87.88,1
5/27/2020 8:00:00 PM,213.72,65.45,80.2,79.68,53.83,68.58,87.89,1
5/27/2020 7:00:00 PM,213.78,65.46,80.25,79.71,53.83,68.58,87.89,1
5/27/2020 6:00:00 PM,214.03,65.64,80.44,79.76,53.83,68.57,87.88,1
5/27/2020 5:00:00 PM,214.56,66.04,80.82,79.89,53.85,68.57,87.85,1
5/27/2020 4:00:00 PM,215.24,66.61,81.36,80,53.88,68.58,87.82,0.75
5/27/2020 3:00:00 PM,216.03,67.28,82.01,80.13,53.9,68.61,87.79,0
5/27/2020 2:00:00 PM,216.83,67.96,82.69,80.24,53.9,68.62,87.76,0.5
5/27/2020 1:00:00 PM,217.63,68.6,83.35,80.36,53.93,68.63,87.74,1
5/27/2020 12:00:00 PM,218.39,69.23,84,80.46,53.93,68.62,87.69,1
5/27/2020 11:00:00 AM,219.11,69.85,84.62,80.57,53.93,68.63,87.71,1
5/27/2020 10:00:00 AM,219.78,70.4,85.18,80.66,53.94,68.64,87.68,1
5/27/2020 9:00:00 AM,220.27,70.86,85.61,80.74,53.93,68.64,87.68,1
5/27/2020 8:00:00 AM,220.62,71.21,85.89,80.81,53.92,68.62,87.68,1
5/27/2020 7:00:00 AM,220.8,71.45,86.05,80.85,53.9,68.62,87.7,1
5/27/2020 6:00:00 AM,220.83,71.57,86.06,80.87,53.9,68.6,87.72,1
5/27/2020 5:00:00 AM,220.82,71.65,86.07,80.87,53.88,68.62,87.72,1
5/27/2020 4:00:00 AM,220.81,71.73,86.06,80.87,53.88,68.59,87.73,1
5/27/2020 3:00:00 AM,220.76,71.79,86.02,80.88,53.86,68.6,87.76,1
5/27/2020 2:00:00 AM,220.71,71.86,85.99,80.88,53.84,68.6,87.75,1
5/27/2020 1:00:00 AM,220.66,71.89,85.94,80.88,53.84,68.59,87.76,1
5/27/2020 12:00:00 AM,220.61,71.94,85.91,80.88,53.83,68.59,87.77,1
5/26/2020 11:00:00 PM,220.53,71.95,85.84,80.88,53.81,68.58,87.79,1
5/26/2020 10:00:00 PM,220.46,71.95,85.78,80.88,53.8,68.59,87.8,1
5/26/2020 9:00:00 PM,220.41,71.95,85.73,80.88,53.79,68.57,87.82,1
5/26/2020 8:00:00 PM,220.32,71.9,85.65,80.88,53.79,68.57,87.83,1
5/26/2020 7:00:00 PM,220.24,71.86,85.58,80.87,53.79,68.56,87.84,1
5/26/2020 6:00:00 PM,220.22,71.9,85.54,80.9,53.78,68.56,87.84,1
5/26/2020 5:00:00 PM,220.36,72.07,85.65,80.93,53.78,68.55,87.83,1
5/26/2020 4:00:00 PM,220.77,72.44,85.94,81.04,53.79,68.56,87.81,1
5/26/2020 3:00:00 PM,221.23,72.92,86.3,81.13,53.8,68.57,87.79,1
5/26/2020 2:00:00 PM,221.82,73.48,86.75,81.26,53.81,68.59,87.76,1
5/26/2020 1:00:00 PM,222.42,73.96,87.18,81.41,53.83,68.58,87.74,1
5/26/2020 12:00:00 PM,222.99,74.39,87.6,81.57,53.82,68.59,87.73,1
5/26/2020 11:00:00 AM,223.52,74.72,87.99,81.72,53.82,68.59,87.71,1
5/26/2020 10:00:00 AM,224.04,75.03,88.34,81.87,53.82,68.59,87.71,1
5/26/2020 9:00:00 AM,224.52,75.33,88.71,82.01,53.8,68.57,87.72,1
5/26/2020 8:00:00 AM,224.91,75.61,89.01,82.11,53.78,68.58,87.73,1
5/26/2020 7:00:00 AM,225.21,75.86,89.23,82.19,53.79,68.57,87.74,1
5/26/2020 6:00:00 AM,225.3,76.02,89.32,82.22,53.76,68.58,87.75,1
5/26/2020 5:00:00 AM,225.38,76.16,89.39,82.25,53.74,68.57,87.76,1
5/26/2020 4:00:00 AM,225.47,76.33,89.46,82.29,53.72,68.57,87.77,1
5/26/2020 3:00:00 AM,225.58,76.49,89.56,82.32,53.7,68.57,87.79,1
5/26/2020 2:00:00 AM,225.73,76.68,89.69,82.36,53.68,68.55,87.8,1
5/26/2020 1:00:00 AM,225.83,76.89,89.77,82.41,53.65,68.55,87.8,1
5/26/2020 12:00:00 AM,225.98,77.09,89.88,82.47,53.63,68.56,87.81,1
5/25/2020 11:00:00 PM,226.13,77.31,89.99,82.53,53.61,68.55,87.83,1
5/25/2020 10:00:00 PM,226.36,77.52,90.15,82.63,53.59,68.55,87.83,1
5/25/2020 9:00:00 PM,227.38,77.77,91.11,82.71,53.57,68.55,87.85,1
5/25/2020 8:00:00 PM,227.63,78.05,91.27,82.81,53.55,68.54,87.85,1
5/25/2020 7:00:00 PM,227.74,78.44,91.29,82.91,53.54,68.55,87.87,1
5/25/2020 6:00:00 PM,227.86,79.16,91.28,83.08,53.51,68.54,87.87,1
5/25/2020 5:00:00 PM,228.21,80.82,91.32,83.4,53.5,68.55,87.86,1
5/25/2020 4:00:00 PM,228.72,85.24,91.37,83.86,53.49,68.57,87.85,1
5/25/2020 3:00:00 PM,229.14,90.8,91.43,84.23,53.48,68.59,87.83,1
5/25/2020 2:00:00 PM,229.25,91.35,91.51,84.26,53.48,68.59,87.82,1
5/25/2020 1:00:00 PM,228.83,91.36,91.59,83.76,53.48,68.6,87.8,1
5/25/2020 12:00:00 PM,228.56,91.38,91.69,83.38,53.48,68.62,87.79,1
5/25/2020 11:00:00 AM,228.17,91.39,91.82,82.88,53.47,68.62,87.78,1
5/25/2020 10:00:00 AM,227.84,91.43,91.96,82.4,53.48,68.62,87.79,1
5/25/2020 9:00:00 AM,226.61,91.31,92.15,80.98,53.48,68.64,87.8,1
5/25/2020 8:00:00 AM,223.64,83.54,92.23,77.92,53.49,68.65,87.8,1
5/25/2020 7:00:00 AM,221.53,74.84,92.02,76.02,53.5,68.65,87.82,1
5/25/2020 6:00:00 AM,220.16,73.66,91.44,75.22,53.5,68.64,87.83,1
5/25/2020 5:00:00 AM,219.18,72.04,90.47,75.22,53.49,68.65,87.84,1
5/25/2020 4:00:00 AM,217.28,70.14,88.49,75.31,53.49,68.65,87.86,1
5/25/2020 3:00:00 AM,212.62,68.48,83.78,75.36,53.48,68.65,87.88,1
5/25/2020 2:00:00 AM,209.44,67.44,80.56,75.4,53.48,68.65,87.88,1
5/25/2020 1:00:00 AM,209.23,66.97,80.32,75.42,53.48,68.64,87.89,1
5/25/2020 12:00:00 AM,209.16,66.78,80.23,75.45,53.48,68.65,87.9,1
5/24/2020 11:00:00 PM,209.11,66.61,80.16,75.47,53.48,68.65,87.92,1
5/24/2020 10:00:00 PM,209.1,66.41,80.12,75.5,53.48,68.65,87.94,1
5/24/2020 9:00:00 PM,209.08,66.17,80.08,75.52,53.48,68.64,87.95,1
5/24/2020 8:00:00 PM,209.09,65.89,80.06,75.55,53.48,68.63,87.96,1
5/24/2020 7:00:00 PM,209.23,65.64,80.14,75.6,53.48,68.64,87.95,1
5/24/2020 6:00:00 PM,209.57,65.5,80.37,75.69,53.51,68.62,87.94,1
5/24/2020 5:00:00 PM,210.13,65.51,80.79,75.81,53.54,68.62,87.94,1
