Agri-Park West Unified WS,Soil Moisture Sum,Soil Moisture 8",Soil Moisture 16",Soil Moisture 28",Soil Moisture 36",Soil Moisture 48",Soil Moisture 56",Pressure Switch - Calculated
5/23/2020 12:00:00 AM,331.15,52.14,52.19,51.52,57.36,55.73,62.19,1
5/22/2020 12:00:00 AM,328.89,52.41,52.46,51.59,57.45,55.2,61.63,0.345
5/21/2020 12:00:00 AM,333.19,52.66,52.59,51.72,57.62,56.02,62.57,0
5/20/2020 12:00:00 AM,334.03,52.8,52.81,51.82,57.75,56.13,62.72,0
5/19/2020 12:00:00 AM,334.76,52.96,53.06,51.9,57.84,56.17,62.82,0
5/18/2020 12:00:00 AM,335.84,53.53,53.42,51.93,57.88,56.19,62.88,0
5/17/2020 12:00:00 AM,337.19,54.24,53.78,51.93,57.94,56.25,63.05,0
5/16/2020 12:00:00 AM,338.63,54.74,54.16,52,58.07,56.39,63.26,0
5/15/2020 12:00:00 AM,340.35,55.21,54.73,52.16,58.22,56.57,63.47,0
5/14/2020 12:00:00 AM,341.92,55.73,55.31,52.32,58.34,56.67,63.55,0
5/13/2020 12:00:00 AM,343.33,56.35,55.9,52.44,58.43,56.69,63.54,0
5/12/2020 12:00:00 AM,345.12,57.28,56.63,52.53,58.5,56.67,63.51,0
5/11/2020 12:00:00 AM,347.11,58.39,57.51,52.57,58.53,56.63,63.47,0
5/10/2020 12:00:00 AM,349.91,60.03,58.75,52.54,58.52,56.6,63.48,0
5/9/2020 12:00:00 AM,353.6,61.93,60.53,52.49,58.54,56.6,63.52,0
5/8/2020 12:00:00 AM,358.18,64.06,62.88,52.47,58.6,56.6,63.57,0
5/7/2020 12:00:00 AM,349.83,60.71,57.59,52.52,58.69,56.6,63.71,0.671
5/6/2020 12:00:00 AM,337.23,52.17,52.47,52.72,58.92,56.84,64.11,0.306
5/5/2020 12:00:00 AM,339.32,52.53,52.68,53.03,59.28,57.24,64.56,0
5/4/2020 12:00:00 AM,341.46,52.98,52.95,53.33,59.62,57.63,64.96,0
5/3/2020 12:00:00 AM,343.73,53.65,53.29,53.57,59.94,57.98,65.3,0
5/2/2020 12:00:00 AM,345.57,54.32,53.56,53.73,60.18,58.22,65.56,0
5/1/2020 12:00:00 AM,347.6,55.01,53.93,53.89,60.44,58.48,65.85,0
4/30/2020 12:00:00 AM,350.28,56.19,54.45,54.02,60.67,58.8,66.15,0
4/29/2020 12:00:00 AM,352.18,57.16,54.78,54.04,60.84,59,66.36,0
4/28/2020 12:00:00 AM,354.05,57.97,55.14,54.09,61.02,59.23,66.6,0
4/27/2020 12:00:00 AM,356.55,59.05,55.78,54.18,61.2,59.51,66.84,0
4/26/2020 12:00:00 AM,358.49,60.17,56.3,54.16,61.29,59.63,66.95,0
4/25/2020 12:00:00 AM,359.29,60.75,56.26,54.12,61.39,59.71,67.06,0.011
4/24/2020 12:00:00 AM,351.19,54.54,53.71,54.14,61.57,59.93,67.3,0.633
4/23/2020 12:00:00 AM,349.75,51.47,53.34,54.38,62.08,60.64,67.83,0.361
4/22/2020 12:00:00 AM,352.34,51.42,53.46,54.8,62.77,61.54,68.35,0
4/21/2020 12:00:00 AM,354.49,51.42,53.66,55.16,63.35,62.18,68.72,0
4/20/2020 12:00:00 AM,356.02,51.69,53.87,55.34,63.71,62.51,68.9,0
4/19/2020 12:00:00 AM,357.39,51.87,54.05,55.51,64.07,62.81,69.08,0
4/18/2020 12:00:00 AM,359.29,52.24,54.31,55.75,64.49,63.2,69.3,0
4/17/2020 12:00:00 AM,361.14,52.69,54.54,55.96,64.89,63.56,69.5,0
4/16/2020 12:00:00 AM,363.05,52.91,54.72,56.32,65.39,63.97,69.74,0
4/15/2020 12:00:00 AM,365.15,53.1,54.97,56.77,65.93,64.4,69.98,0
4/14/2020 12:00:00 AM,367.64,53.39,55.27,57.36,66.52,64.83,70.25,0
4/13/2020 12:00:00 AM,370.42,53.69,55.68,58.12,67.11,65.29,70.53,0
4/12/2020 12:00:00 AM,372.35,53.98,55.98,58.66,67.48,65.56,70.69,0
4/11/2020 12:00:00 AM,373.9,54.11,56.22,59.15,67.8,65.78,70.84,0
4/10/2020 12:00:00 AM,375.49,54.17,56.48,59.73,68.13,66,70.99,0
4/9/2020 12:00:00 AM,376.81,54.22,56.75,60.2,68.37,66.17,71.1,0
4/8/2020 12:00:00 AM,377.61,54.33,56.93,60.44,68.52,66.26,71.14,0
4/7/2020 12:00:00 AM,378.81,54.26,57.16,60.96,68.78,66.41,71.23,0
4/6/2020 12:00:00 AM,380.36,54.35,57.55,61.55,69.02,66.57,71.32,0
4/5/2020 12:00:00 AM,381.69,54.76,57.94,61.86,69.13,66.65,71.35,0
4/4/2020 12:00:00 AM,382.24,55.15,58.21,61.84,69.12,66.61,71.31,0
4/3/2020 12:00:00 AM,383.77,55.57,58.59,62.31,69.27,66.67,71.35,0
4/2/2020 12:00:00 AM,386.68,56.21,59.21,63.32,69.59,66.86,71.5,0
4/1/2020 12:00:00 AM,389.99,56.95,59.92,64.43,69.92,67.08,71.68,0
3/31/2020 12:00:00 AM,392.57,57.41,60.45,65.38,70.2,67.28,71.84,0
3/30/2020 12:00:00 AM,394.6,57.71,60.93,66.15,70.4,67.44,71.97,0
3/29/2020 12:00:00 AM,396.2,57.92,61.34,66.75,70.55,67.57,72.06,0
3/28/2020 12:00:00 AM,397.26,58.14,61.67,67.06,70.65,67.65,72.11,0
3/27/2020 12:00:00 AM,398.63,58.32,62.04,67.54,70.79,67.75,72.18,0
3/26/2020 12:00:00 AM,400.29,58.6,62.5,68.1,70.94,67.87,72.28,0
3/25/2020 12:00:00 AM,402,59.05,63.03,68.57,71.04,67.97,72.34,0
3/24/2020 12:00:00 AM,403.58,59.69,63.5,68.88,71.08,68.04,72.39,0
3/23/2020 12:00:00 AM,405.01,60.28,63.83,69.18,71.13,68.13,72.47,0
3/22/2020 12:00:00 AM,406.28,60.56,64.07,69.56,71.22,68.27,72.6,0
3/21/2020 12:00:00 AM,407.45,60.72,64.28,69.94,71.34,68.43,72.73,0
