Agri-Park West Unified WS,Soil Moisture Sum,Soil Moisture 8",Soil Moisture 16",Soil Moisture 28",Soil Moisture 36",Soil Moisture 48",Soil Moisture 56",Pressure Switch - Calculated
5/28/2020 10:00:00 AM,369.92,64,63.41,64.79,59.66,55.81,62.24,0
5/28/2020 9:00:00 AM,370.35,64.12,63.56,64.98,59.66,55.8,62.23,0
5/28/2020 8:00:00 AM,370.84,64.27,63.72,65.13,59.67,55.8,62.24,0
5/28/2020 7:00:00 AM,371.1,64.37,63.81,65.24,59.66,55.8,62.23,0
5/28/2020 6:00:00 AM,371.19,64.44,63.84,65.25,59.65,55.8,62.22,0
5/28/2020 5:00:00 AM,371.21,64.45,63.86,65.26,59.64,55.79,62.22,0
5/28/2020 4:00:00 AM,371.32,64.52,63.9,65.27,59.63,55.8,62.21,0
5/28/2020 3:00:00 AM,371.35,64.56,63.91,65.27,59.62,55.78,62.21,0
5/28/2020 2:00:00 AM,371.39,64.61,63.92,65.28,59.61,55.77,62.21,0
5/28/2020 1:00:00 AM,371.39,64.63,63.93,65.28,59.59,55.76,62.2,0
5/28/2020 12:00:00 AM,371.41,64.66,63.94,65.28,59.57,55.75,62.2,0
5/27/2020 11:00:00 PM,371.43,64.68,63.98,65.28,59.56,55.75,62.18,0
5/27/2020 10:00:00 PM,371.43,64.71,63.98,65.28,59.54,55.73,62.18,0
5/27/2020 9:00:00 PM,371.45,64.71,64.01,65.28,59.53,55.74,62.17,0
5/27/2020 8:00:00 PM,371.47,64.71,64.03,65.31,59.52,55.72,62.18,0
5/27/2020 7:00:00 PM,371.59,64.75,64.03,65.39,59.51,55.72,62.18,0
5/27/2020 6:00:00 PM,371.9,64.79,64.08,65.6,59.53,55.72,62.17,0
5/27/2020 5:00:00 PM,372.29,64.84,64.17,65.85,59.54,55.72,62.17,0
5/27/2020 4:00:00 PM,372.78,64.94,64.27,66.14,59.54,55.71,62.17,0
5/27/2020 3:00:00 PM,373.43,65.08,64.41,66.47,59.57,55.72,62.18,0
5/27/2020 2:00:00 PM,374.12,65.24,64.6,66.79,59.57,55.72,62.19,0
5/27/2020 1:00:00 PM,374.69,65.4,64.75,67.04,59.57,55.74,62.2,0
5/27/2020 12:00:00 PM,375.22,65.54,64.91,67.26,59.57,55.74,62.2,0
5/27/2020 11:00:00 AM,375.77,65.7,65.1,67.49,59.54,55.75,62.19,0
5/27/2020 10:00:00 AM,376.34,65.87,65.32,67.69,59.51,55.74,62.2,0
5/27/2020 9:00:00 AM,376.7,65.96,65.49,67.81,59.48,55.75,62.2,0
5/27/2020 8:00:00 AM,376.96,66.1,65.62,67.89,59.43,55.74,62.19,0
5/27/2020 7:00:00 AM,377.15,66.22,65.73,67.93,59.34,55.74,62.19,0
5/27/2020 6:00:00 AM,377.2,66.28,65.8,67.95,59.26,55.74,62.18,0
5/27/2020 5:00:00 AM,377.27,66.36,65.85,67.97,59.19,55.74,62.17,0
5/27/2020 4:00:00 AM,377.27,66.41,65.89,67.98,59.1,55.73,62.17,0
5/27/2020 3:00:00 AM,377.3,66.49,65.93,67.98,59.01,55.74,62.16,0
5/27/2020 2:00:00 AM,377.31,66.56,65.97,67.98,58.92,55.72,62.16,0
5/27/2020 1:00:00 AM,377.33,66.62,66.03,67.99,58.82,55.72,62.15,0
5/27/2020 12:00:00 AM,377.32,66.67,66.07,67.97,58.72,55.72,62.15,0
5/26/2020 11:00:00 PM,377.26,66.72,66.13,67.93,58.64,55.7,62.14,0
5/26/2020 10:00:00 PM,377.23,66.76,66.2,67.88,58.54,55.71,62.14,0
5/26/2020 9:00:00 PM,377.2,66.81,66.34,67.79,58.41,55.71,62.13,0
5/26/2020 8:00:00 PM,377.14,66.87,66.39,67.71,58.33,55.71,62.14,0
5/26/2020 7:00:00 PM,377.09,66.93,66.5,67.59,58.22,55.71,62.13,0
5/26/2020 6:00:00 PM,377.08,67.05,66.67,67.44,58.08,55.71,62.13,0
5/26/2020 5:00:00 PM,377.19,67.24,66.9,67.28,57.9,55.72,62.14,0
5/26/2020 4:00:00 PM,377.29,67.49,67.19,67.06,57.7,55.71,62.13,0
5/26/2020 3:00:00 PM,377.16,67.78,67.57,66.5,57.45,55.72,62.14,0
5/26/2020 2:00:00 PM,376.19,68.23,68,64.88,57.17,55.75,62.15,0
5/26/2020 1:00:00 PM,372.41,68.76,68.36,60.24,57.14,55.77,62.15,0
5/26/2020 12:00:00 PM,366.39,69.04,68.39,53.83,57.19,55.79,62.15,0.667
5/26/2020 11:00:00 AM,364.28,68.93,68.23,51.92,57.25,55.8,62.15,1
5/26/2020 10:00:00 AM,363.89,68.83,68.12,51.69,57.28,55.8,62.15,1
5/26/2020 9:00:00 AM,363.89,68.81,68.11,51.71,57.29,55.82,62.15,1
5/26/2020 8:00:00 AM,363.93,68.86,68.12,51.72,57.29,55.8,62.15,1
5/26/2020 7:00:00 AM,363.91,68.87,68.09,51.71,57.27,55.82,62.14,1
5/26/2020 6:00:00 AM,363.85,68.86,68.04,51.71,57.28,55.82,62.14,1
5/26/2020 5:00:00 AM,363.74,68.83,68.01,51.7,57.27,55.8,62.13,1
5/26/2020 4:00:00 AM,363.71,68.86,67.99,51.67,57.28,55.79,62.12,1
5/26/2020 3:00:00 AM,363.62,68.88,67.9,51.66,57.28,55.78,62.12,1
5/26/2020 2:00:00 AM,363.49,68.89,67.77,51.65,57.27,55.79,62.12,1
5/26/2020 1:00:00 AM,363.14,68.9,67.44,51.63,57.27,55.77,62.12,1
5/26/2020 12:00:00 AM,362.39,68.9,66.75,51.61,57.26,55.77,62.1,1
5/25/2020 11:00:00 PM,361.38,68.84,65.83,51.6,57.25,55.76,62.1,1
5/25/2020 10:00:00 PM,359.82,68.75,64.36,51.59,57.26,55.75,62.1,1
5/25/2020 9:00:00 PM,356.89,68.62,61.58,51.56,57.26,55.75,62.1,1
5/25/2020 8:00:00 PM,352.38,68.24,57.48,51.56,57.26,55.75,62.09,1
5/25/2020 7:00:00 PM,349.38,66.5,56.28,51.54,57.25,55.73,62.08,1
5/25/2020 6:00:00 PM,345.08,62.21,56.27,51.54,57.25,55.72,62.09,1
5/25/2020 5:00:00 PM,343.63,60.75,56.29,51.52,57.25,55.72,62.09,1
5/25/2020 4:00:00 PM,343.79,60.8,56.37,51.54,57.25,55.72,62.1,1
5/25/2020 3:00:00 PM,343.98,60.88,56.42,51.55,57.27,55.74,62.12,1
5/25/2020 2:00:00 PM,344.26,60.98,56.54,51.56,57.28,55.76,62.13,0.25
5/25/2020 1:00:00 PM,344.54,61.11,56.64,51.58,57.29,55.78,62.14,0
5/25/2020 12:00:00 PM,344.81,61.23,56.77,51.58,57.28,55.8,62.15,0
