Balthazar Prunes SMP,Irrigation Zone 16"-36",Soil Moisture 8",Soil Moisture 16",Soil Moisture 28",Soil Moisture 36",Soil Moisture 48",Soil Moisture 56",Dwyer Pressure Sensor 0-100,Pressure Switch - Calculated
5/23/2020 12:00:00 AM,213.72,47.88,60.96,78.91,73.86,90.01,90.07,0.01,0
5/22/2020 12:00:00 AM,214.56,48.19,61.47,79.21,73.88,90.03,90.08,-0.03,0
5/21/2020 12:00:00 AM,215.92,48.82,62.26,79.75,73.91,90.09,90.11,-0.03,0
5/20/2020 12:00:00 AM,217.26,49.38,63.01,80.29,73.96,90.13,90.14,-0.01,0
5/19/2020 12:00:00 AM,218.66,49.9,63.81,80.84,74.01,90.16,90.15,0.01,0
5/18/2020 12:00:00 AM,219.86,50.49,64.59,81.24,74.04,90.16,90.16,0.03,0
5/17/2020 12:00:00 AM,221.17,51.33,65.5,81.61,74.07,90.14,90.18,0.02,0
5/16/2020 12:00:00 AM,222.69,52.47,66.53,82.04,74.12,90.07,90.2,-0.02,0
5/15/2020 12:00:00 AM,224.48,53.76,67.68,82.6,74.2,89.89,90.25,-0.01,0
5/14/2020 12:00:00 AM,226.23,54.88,68.84,83.1,74.29,88.76,90.25,0.03,0
5/13/2020 12:00:00 AM,227.81,55.83,69.93,83.51,74.37,85.86,90.25,0.05,0
5/12/2020 12:00:00 AM,229.37,56.96,71.11,83.84,74.42,84.61,90.25,0.03,0
5/11/2020 12:00:00 AM,230.79,58.19,72.29,84.05,74.44,84.25,90.24,0,0
5/10/2020 12:00:00 AM,232.49,59.92,73.71,84.3,74.48,84.21,90.26,-0.05,0
5/9/2020 12:00:00 AM,234.36,62.02,75.22,84.6,74.54,84.26,90.26,-0.07,0
5/8/2020 12:00:00 AM,236.24,64.27,76.7,84.95,74.6,84.22,90.29,-0.07,0
5/7/2020 12:00:00 AM,238.09,66.6,78.08,85.32,74.69,84.16,90.31,-0.06,0
5/6/2020 12:00:00 AM,239.81,69.29,79.4,85.63,74.78,84.06,90.32,-0.03,0
5/5/2020 12:00:00 AM,241.24,71.88,80.51,85.85,74.88,83.97,90.34,-0.03,0
5/4/2020 12:00:00 AM,242.51,74.33,81.47,86.05,74.99,83.9,90.34,-0.02,0
5/3/2020 12:00:00 AM,243.59,76.43,82.26,86.22,75.11,83.94,90.35,-0.02,0
5/2/2020 12:00:00 AM,244.56,78.28,82.96,86.33,75.27,84.07,90.36,-0.01,0
5/1/2020 12:00:00 AM,245.63,79.74,83.53,86.46,75.63,84.33,90.38,-0.03,0
4/30/2020 12:00:00 AM,248.05,81.11,84.33,86.81,76.91,84.66,90.38,-0.03,0
4/29/2020 12:00:00 AM,254.53,82.89,85.89,87.78,80.86,88.79,90.37,-0.03,0
4/28/2020 12:00:00 AM,262.69,85.82,88.93,90.25,83.51,89.94,89.94,14.38,0.727
4/27/2020 12:00:00 AM,223.44,52.7,68.48,81.41,73.54,83.39,87.58,5.58,0.295
4/26/2020 12:00:00 AM,221.79,52.07,67.62,81.16,73.01,82.92,84.94,0.01,0
4/25/2020 12:00:00 AM,222.82,53.02,68.31,81.5,73.01,82.89,84.8,0.11,0
4/24/2020 12:00:00 AM,223.89,54.13,69.02,81.86,73.02,82.85,84.71,0.02,0
4/23/2020 12:00:00 AM,225.01,55.38,69.76,82.21,73.05,82.83,84.65,0.04,0
4/22/2020 12:00:00 AM,225.94,56.44,70.33,82.52,73.1,82.8,84.6,0.05,0
4/21/2020 12:00:00 AM,226.91,57.23,70.92,82.85,73.14,82.78,84.59,0.07,0
4/20/2020 12:00:00 AM,227.82,58.19,71.61,83.05,73.16,82.76,84.55,0.08,0
4/19/2020 12:00:00 AM,228.62,59.13,72.22,83.24,73.16,82.73,84.51,0.07,0
4/18/2020 12:00:00 AM,229.54,60.26,72.94,83.43,73.17,82.7,84.48,0.08,0
4/17/2020 12:00:00 AM,230.31,61.58,73.58,83.56,73.17,82.68,84.47,0.07,0
4/16/2020 12:00:00 AM,230.85,62.79,74.01,83.67,73.18,82.71,84.56,0.06,0
4/15/2020 12:00:00 AM,231.54,64.1,74.62,83.74,73.19,82.72,84.64,0.08,0
4/14/2020 12:00:00 AM,232.21,65.45,75.25,83.78,73.19,82.75,84.72,0.09,0
4/13/2020 12:00:00 AM,232.77,66.88,75.81,83.78,73.19,82.76,84.8,0.1,0
4/12/2020 12:00:00 AM,233.13,68.11,76.2,83.74,73.19,82.78,84.87,0.09,0
