Balthazar Prunes SMP,Irrigation Zone 16"-36",Soil Moisture 8",Soil Moisture 16",Soil Moisture 28",Soil Moisture 36",Soil Moisture 48",Soil Moisture 56",Dwyer Pressure Sensor 0-100,Pressure Switch - Calculated
5/19/2020 1:00:00 AM,219.28,50.27,64.19,81.06,74.03,90.16,90.16,0.08,0
5/19/2020 12:00:00 AM,219.29,50.28,64.2,81.07,74.03,90.17,90.15,0.07,0
5/18/2020 11:00:00 PM,219.3,50.29,64.2,81.06,74.03,90.17,90.16,0.05,0
5/18/2020 10:00:00 PM,219.29,50.31,64.21,81.05,74.03,90.16,90.15,0.05,0
5/18/2020 9:00:00 PM,219.3,50.3,64.21,81.06,74.03,90.16,90.17,0.03,0
5/18/2020 8:00:00 PM,219.29,50.28,64.21,81.06,74.02,90.16,90.15,0.04,0
5/18/2020 7:00:00 PM,219.28,50.25,64.23,81.04,74.02,90.16,90.17,0.04,0
5/18/2020 6:00:00 PM,219.31,50.23,64.25,81.04,74.03,90.16,90.16,0,0
5/18/2020 5:00:00 PM,219.36,50.17,64.28,81.06,74.02,90.17,90.16,0,0
5/18/2020 4:00:00 PM,219.44,50.18,64.34,81.08,74.03,90.16,90.15,-0.02,0
5/18/2020 3:00:00 PM,219.55,50.26,64.4,81.12,74.03,90.16,90.14,-0.01,0
5/18/2020 2:00:00 PM,219.7,50.33,64.48,81.17,74.04,90.17,90.15,0,0
5/18/2020 1:00:00 PM,219.81,50.38,64.56,81.22,74.03,90.17,90.16,0.03,0
5/18/2020 12:00:00 PM,219.87,50.36,64.59,81.24,74.04,90.17,90.16,0.01,0
5/18/2020 11:00:00 AM,220,50.46,64.67,81.29,74.04,90.16,90.16,0.01,0
5/18/2020 10:00:00 AM,220.13,50.54,64.75,81.33,74.05,90.17,90.16,0.04,0
5/18/2020 9:00:00 AM,220.24,50.62,64.82,81.37,74.05,90.17,90.16,0.05,0
5/18/2020 8:00:00 AM,220.29,50.67,64.84,81.4,74.05,90.17,90.16,0.05,0
5/18/2020 7:00:00 AM,220.3,50.7,64.86,81.39,74.05,90.16,90.17,0.06,0
5/18/2020 6:00:00 AM,220.32,50.72,64.88,81.39,74.05,90.16,90.17,0.08,0
5/18/2020 5:00:00 AM,220.33,50.75,64.9,81.39,74.04,90.16,90.16,0.05,0
5/18/2020 4:00:00 AM,220.32,50.78,64.89,81.39,74.04,90.16,90.14,0.05,0
5/18/2020 3:00:00 AM,220.31,50.77,64.88,81.37,74.05,90.14,90.14,0.05,0
5/18/2020 2:00:00 AM,220.3,50.76,64.89,81.37,74.04,90.16,90.16,0.05,0
5/18/2020 1:00:00 AM,220.33,50.77,64.9,81.39,74.04,90.15,90.18,0.06,0
5/18/2020 12:00:00 AM,220.33,50.77,64.91,81.38,74.04,90.17,90.17,0.02,0
5/17/2020 11:00:00 PM,220.33,50.78,64.92,81.37,74.04,90.16,90.18,0.03,0
5/17/2020 10:00:00 PM,220.34,50.78,64.92,81.38,74.04,90.16,90.17,0.05,0
