Buttehouse Prunes Northwest SMP 1,Irrigation Zone 16"-36",Soil Moisture 12",Soil Moisture 16",Soil Moisture 20",Soil Moisture 36",Soil Moisture 48",Pressure Switch Port B
5/23/2020 12:00:00 AM,60.46,3.56,6.79,12.79,40.88,34.84,1
5/22/2020 12:00:00 AM,61.08,3.64,6.92,13.06,41.1,34.7,1
5/21/2020 12:00:00 AM,61.99,3.74,7.08,13.44,41.47,34.61,1
5/20/2020 12:00:00 AM,62.8,3.74,7.18,13.78,41.84,34.58,1
5/19/2020 12:00:00 AM,63.59,3.77,7.29,14.12,42.19,34.57,1
5/18/2020 12:00:00 AM,64.26,3.75,7.38,14.45,42.43,34.46,1
5/17/2020 12:00:00 AM,65.25,3.85,7.58,14.93,42.74,34.37,0.814
5/16/2020 12:00:00 AM,66.39,4.03,7.82,15.48,43.09,34.38,1
5/15/2020 12:00:00 AM,67.71,4.2,8.1,16.07,43.54,34.58,1
5/14/2020 12:00:00 AM,69,4.35,8.34,16.65,44.01,34.73,1
5/13/2020 12:00:00 AM,70.2,4.55,8.59,17.19,44.43,34.79,1
5/12/2020 12:00:00 AM,71.64,4.71,8.89,17.86,44.88,34.84,0.92
5/11/2020 12:00:00 AM,73.01,5,9.22,18.57,45.22,34.81,1
5/10/2020 12:00:00 AM,74.92,5.35,9.69,19.58,45.65,34.81,1
5/9/2020 12:00:00 AM,77.21,5.75,10.33,20.74,46.14,34.96,1
5/8/2020 12:00:00 AM,79.65,6.22,11.07,21.92,46.65,35.21,1
5/7/2020 12:00:00 AM,82.22,6.59,11.88,23.16,47.19,35.44,1
5/6/2020 12:00:00 AM,85.39,7.46,13.01,24.62,47.76,35.67,1
5/5/2020 12:00:00 AM,88.37,8.39,14.16,25.99,48.22,35.83,1
5/4/2020 12:00:00 AM,91.18,9.13,15.28,27.28,48.62,35.94,1
5/3/2020 12:00:00 AM,93.86,9.67,16.36,28.54,48.96,36,1
5/2/2020 12:00:00 AM,96.71,10.59,17.65,29.92,49.13,36.01,1
5/1/2020 12:00:00 AM,99.64,11.75,19.07,31.3,49.27,36,1
4/30/2020 12:00:00 AM,103.09,13.06,20.82,32.92,49.35,36,1
4/29/2020 12:00:00 AM,106.56,14.75,22.65,34.53,49.37,35.98,1
4/28/2020 12:00:00 AM,110.23,16.84,24.66,36.15,49.43,35.96,1
4/27/2020 12:00:00 AM,114.49,19.36,27.1,37.92,49.47,35.97,1
4/26/2020 12:00:00 AM,118.52,21.54,29.56,39.47,49.48,35.94,1
4/25/2020 12:00:00 AM,122.13,23.23,32.05,40.61,49.47,35.92,1
4/24/2020 12:00:00 AM,121.72,22.1,32.07,40.16,49.49,35.95,1
4/23/2020 12:00:00 AM,104.99,15.04,19.99,35.52,49.48,36.09,1
4/22/2020 12:00:00 AM,104.72,15.12,19.74,35.4,49.57,36.23,1
4/21/2020 12:00:00 AM,104.32,14.87,19.57,35.03,49.72,36.36,1
4/20/2020 12:00:00 AM,106.01,15.64,20.39,35.87,49.75,36.4,1
4/19/2020 12:00:00 AM,108.18,16.98,21.47,36.95,49.76,36.41,1
4/18/2020 12:00:00 AM,110.8,18.57,22.82,38.2,49.78,36.43,1
4/17/2020 12:00:00 AM,113.38,20.39,24.24,39.38,49.76,36.46,1
4/16/2020 12:00:00 AM,115.75,22.22,25.62,40.39,49.74,36.49,1
