Buttehouse Prunes Northwest SMP 1,Irrigation Zone 16"-36",Soil Moisture 12",Soil Moisture 16",Soil Moisture 20",Soil Moisture 36",Soil Moisture 48",Pressure Switch Port B
5/22/2020 1:00:00 AM,61.56,3.71,7.04,13.27,41.26,34.75,1
5/22/2020 12:00:00 AM,61.55,3.72,7.03,13.26,41.26,34.71,1
5/21/2020 11:00:00 PM,61.54,3.73,7.03,13.25,41.26,34.66,1
5/21/2020 10:00:00 PM,61.52,3.74,7.02,13.25,41.25,34.61,1
5/21/2020 9:00:00 PM,61.49,3.74,7,13.24,41.25,34.54,1
5/21/2020 8:00:00 PM,61.48,3.75,6.99,13.23,41.26,34.47,1
5/21/2020 7:00:00 PM,61.47,3.75,6.97,13.23,41.27,34.41,1
5/21/2020 6:00:00 PM,61.5,3.74,6.97,13.24,41.29,34.38,1
5/21/2020 5:00:00 PM,61.56,3.73,6.96,13.26,41.34,34.36,1
5/21/2020 4:00:00 PM,61.62,3.71,6.97,13.28,41.37,34.38,1
5/21/2020 3:00:00 PM,61.71,3.7,6.99,13.32,41.4,34.4,1
5/21/2020 2:00:00 PM,61.8,3.69,7.01,13.36,41.43,34.44,1
5/21/2020 1:00:00 PM,61.91,3.7,7.04,13.41,41.46,34.49,1
5/21/2020 12:00:00 PM,62.01,3.71,7.07,13.45,41.49,34.56,1
5/21/2020 11:00:00 AM,62.12,3.72,7.1,13.49,41.52,34.61,1
5/21/2020 10:00:00 AM,62.21,3.73,7.12,13.53,41.56,34.67,1
5/21/2020 9:00:00 AM,62.31,3.75,7.15,13.57,41.59,34.73,1
5/21/2020 8:00:00 AM,62.37,3.77,7.17,13.59,41.61,34.79,1
5/21/2020 7:00:00 AM,62.42,3.78,7.18,13.6,41.63,34.83,1
5/21/2020 6:00:00 AM,62.43,3.79,7.18,13.61,41.64,34.84,1
5/21/2020 5:00:00 AM,62.42,3.77,7.18,13.61,41.64,34.83,1
5/21/2020 4:00:00 AM,62.42,3.76,7.17,13.61,41.64,34.81,1
5/21/2020 3:00:00 AM,62.42,3.76,7.17,13.61,41.64,34.79,1
5/21/2020 2:00:00 AM,62.41,3.75,7.16,13.61,41.64,34.76,1
5/21/2020 1:00:00 AM,62.39,3.75,7.15,13.61,41.64,34.72,1
5/21/2020 12:00:00 AM,62.37,3.75,7.14,13.6,41.63,34.69,1
5/20/2020 11:00:00 PM,62.36,3.75,7.13,13.6,41.63,34.65,1
5/20/2020 10:00:00 PM,62.33,3.75,7.12,13.59,41.62,34.6,1
5/20/2020 9:00:00 PM,62.31,3.75,7.11,13.58,41.62,34.54,1
5/20/2020 8:00:00 PM,62.3,3.76,7.1,13.57,41.63,34.46,1
5/20/2020 7:00:00 PM,62.29,3.76,7.08,13.57,41.64,34.38,1
5/20/2020 6:00:00 PM,62.32,3.75,7.07,13.58,41.67,34.34,1
5/20/2020 5:00:00 PM,62.39,3.74,7.07,13.6,41.72,34.34,1
5/20/2020 4:00:00 PM,62.45,3.72,7.08,13.63,41.74,34.35,1
5/20/2020 3:00:00 PM,62.55,3.71,7.1,13.67,41.78,34.38,1
5/20/2020 2:00:00 PM,62.64,3.7,7.12,13.71,41.81,34.42,1
5/20/2020 1:00:00 PM,62.73,3.7,7.15,13.75,41.83,34.47,1
5/20/2020 12:00:00 PM,62.81,3.71,7.17,13.79,41.85,34.52,1
5/20/2020 11:00:00 AM,62.93,3.71,7.2,13.84,41.89,34.58,1
5/20/2020 10:00:00 AM,63.02,3.72,7.23,13.87,41.92,34.64,1
5/20/2020 9:00:00 AM,63.09,3.73,7.24,13.9,41.95,34.68,1
