Buttehouse WS 1,Irrigation Zone 16"-36",Soil Moisture 8",Soil Moisture 16",Soil Moisture 28",Soil Moisture 36",Soil Moisture 48",Soil Moisture 56",Pressure Switch 1 - Averaged
5/15/2020 12:00:00 AM,213.11,51.68,58.64,63.7,90.78,89.89,79.96,0
5/14/2020 12:00:00 AM,213.35,51.78,58.81,63.82,90.71,89.78,79.91,0
5/13/2020 12:00:00 AM,213.71,52.04,59.14,63.92,90.64,89.66,79.86,0
5/12/2020 12:00:00 AM,214.03,52.43,59.57,64.04,90.42,89.55,79.84,0
5/11/2020 12:00:00 AM,214.38,53.07,60.05,64.03,90.29,89.48,79.88,0
5/10/2020 12:00:00 AM,214.41,53.67,60.41,64.08,89.92,89.37,79.94,0
5/9/2020 12:00:00 AM,214.57,54.15,60.74,64.33,89.5,89.27,80,0
5/8/2020 12:00:00 AM,214.92,54.61,61.07,64.69,89.16,89.13,79.98,0
5/7/2020 12:00:00 AM,215.25,55.08,61.34,65.15,88.75,88.97,79.95,0
5/6/2020 12:00:00 AM,215.84,55.66,61.68,65.8,88.36,88.85,79.93,0
5/5/2020 12:00:00 AM,216.42,56.1,61.89,66.51,88.01,88.73,79.92,0
5/4/2020 12:00:00 AM,217.1,56.3,62.05,67.33,87.71,88.63,79.89,0
5/3/2020 12:00:00 AM,217.92,56.33,62.2,68.31,87.41,88.52,79.86,0
5/2/2020 12:00:00 AM,218.94,56.55,62.46,69.33,87.15,88.41,79.84,0
5/1/2020 12:00:00 AM,220.02,56.71,62.58,70.6,86.84,88.29,79.8,0
4/30/2020 12:00:00 AM,221.51,56.75,62.71,72.24,86.56,88.19,79.76,0
4/29/2020 12:00:00 AM,222.92,56.92,62.84,73.77,86.31,88.1,79.73,0
4/28/2020 12:00:00 AM,224.12,56.85,62.73,75.32,86.07,88,79.7,0
4/27/2020 12:00:00 AM,225.45,56.65,62.7,76.78,85.97,87.92,79.67,0
4/26/2020 12:00:00 AM,227.13,56.57,62.6,77.67,86.87,87.98,79.63,0
4/25/2020 12:00:00 AM,218.55,56.77,62.42,68.35,87.78,88.09,79.76,0
4/24/2020 12:00:00 AM,213.54,56.53,62.32,64.72,86.5,87.61,79.46,0
4/23/2020 12:00:00 AM,213.67,56.94,62.49,64.89,86.28,87.55,79.46,0
4/22/2020 12:00:00 AM,213.74,57.22,62.59,65.04,86.11,87.51,79.45,0
4/21/2020 12:00:00 AM,214.1,57.52,62.79,65.38,85.93,87.46,79.47,0
4/20/2020 12:00:00 AM,214.74,58.13,63.28,65.65,85.82,87.42,79.45,0
4/19/2020 12:00:00 AM,215.11,58.86,63.61,65.88,85.62,87.37,79.45,0
4/18/2020 12:00:00 AM,215.72,59.59,64.03,66.26,85.43,87.32,79.45,0
4/17/2020 12:00:00 AM,216.3,60.47,64.44,66.61,85.25,87.28,79.47,0
4/16/2020 12:00:00 AM,216.84,61.2,64.71,67.05,85.08,87.24,79.47,0
4/15/2020 12:00:00 AM,217.57,61.89,65.05,67.57,84.95,87.21,79.5,0
4/14/2020 12:00:00 AM,218.31,62.6,65.41,68.12,84.78,87.18,79.51,0
4/13/2020 12:00:00 AM,219.18,63.39,65.79,68.73,84.65,87.17,79.52,0
4/12/2020 12:00:00 AM,219.76,64.09,66.03,69.18,84.55,87.16,79.54,0
4/11/2020 12:00:00 AM,220.19,64.7,66.12,69.58,84.48,87.16,79.55,0
4/10/2020 12:00:00 AM,220.67,65.01,66.17,70.06,84.44,87.16,79.57,0
4/9/2020 12:00:00 AM,221.34,65.38,66.47,70.45,84.42,87.16,79.59,0
4/8/2020 12:00:00 AM,221.68,65.97,66.6,70.66,84.42,87.17,79.61,0
4/7/2020 12:00:00 AM,222.09,66.16,66.66,71.01,84.41,87.17,79.63,0
4/6/2020 12:00:00 AM,222.71,66.1,66.85,71.41,84.45,87.17,79.63,0
4/5/2020 12:00:00 AM,223.46,64.45,67.27,71.71,84.47,87.16,79.64,0
4/4/2020 12:00:00 AM,223.75,62.84,67.59,71.73,84.44,87.14,79.65,0
4/3/2020 12:00:00 AM,224.25,62.98,67.81,72.07,84.37,87.12,79.67,0
4/2/2020 12:00:00 AM,225.16,63.28,68.24,72.62,84.31,87.13,79.7,0
4/1/2020 12:00:00 AM,226.11,63.69,68.68,73.19,84.24,87.13,79.72,0
3/31/2020 12:00:00 AM,226.94,63.85,69.01,73.73,84.21,87.13,79.74,0
3/30/2020 12:00:00 AM,227.64,63.92,69.31,74.13,84.19,87.14,79.76,0
3/29/2020 12:00:00 AM,228.21,63.98,69.57,74.45,84.19,87.14,79.78,0
3/28/2020 12:00:00 AM,228.54,64.24,69.8,74.57,84.18,87.15,79.79,0
3/27/2020 12:00:00 AM,228.9,64.36,69.96,74.76,84.18,87.16,79.81,0
3/26/2020 12:00:00 AM,229.29,64.46,70.15,74.95,84.2,87.15,79.82,0
3/25/2020 12:00:00 AM,229.72,64.61,70.4,75.12,84.19,87.14,79.83,0
3/24/2020 12:00:00 AM,230.14,65.12,70.79,75.2,84.15,87.14,79.84,0
3/23/2020 12:00:00 AM,230.36,65.6,70.98,75.26,84.11,87.15,79.84,0
3/22/2020 12:00:00 AM,230.42,65.7,70.99,75.35,84.08,87.18,79.86,0
3/21/2020 12:00:00 AM,230.48,65.65,70.95,75.44,84.09,87.19,79.89,0
3/20/2020 12:00:00 AM,230.51,65.51,70.84,75.54,84.13,87.22,79.9,0
3/19/2020 12:00:00 AM,230.68,65.28,70.79,75.7,84.19,87.25,79.92,0
3/18/2020 12:00:00 AM,231.07,65.46,70.97,75.84,84.26,87.25,79.93,0
3/17/2020 12:00:00 AM,231.41,65.7,71.14,75.97,84.31,87.27,79.94,0
3/16/2020 12:00:00 AM,231.81,65.97,71.37,76.09,84.35,87.27,79.94,0
3/15/2020 12:00:00 AM,232.18,66.45,71.66,76.17,84.35,87.32,79.96,0
3/14/2020 12:00:00 AM,232.44,67.07,71.94,76.19,84.31,87.34,79.98,0
3/13/2020 12:00:00 AM,232.42,67.5,71.98,76.17,84.27,87.35,79.98,0
3/12/2020 12:00:00 AM,232.37,67.6,71.95,76.18,84.24,87.34,79.99,0
3/11/2020 12:00:00 AM,232.23,67.6,71.84,76.17,84.22,87.34,80.01,0
3/10/2020 12:00:00 AM,232.17,67.47,71.76,76.19,84.22,87.34,80.03,0
3/9/2020 12:00:00 AM,232.18,67.44,71.72,76.24,84.22,87.34,80.04,0
3/8/2020 12:00:00 AM,232.3,67.4,71.79,76.28,84.23,87.33,80.05,0
3/7/2020 12:00:00 AM,232.48,67.79,71.97,76.3,84.21,87.31,80.07,0
3/6/2020 12:00:00 AM,232.45,68.06,72.01,76.28,84.17,87.31,80.1,0
3/5/2020 12:00:00 AM,232.33,68.12,71.96,76.24,84.13,87.31,80.12,0
3/4/2020 12:00:00 AM,232.16,68.13,71.87,76.21,84.09,87.29,80.13,0
3/3/2020 12:00:00 AM,232,68.01,71.73,76.19,84.08,87.32,80.14,0
3/2/2020 12:00:00 AM,232.07,67.81,71.74,76.24,84.09,87.32,80.17,0
3/1/2020 12:00:00 AM,232.16,68.15,71.88,76.24,84.05,87.31,80.18,0
2/29/2020 12:00:00 AM,232.08,68.29,71.85,76.21,84.01,87.31,80.19,0
2/28/2020 12:00:00 AM,231.98,68.28,71.82,76.19,83.98,87.29,80.2,0
