Buttehouse WS 1,Irrigation Zone 16"-36",Soil Moisture 8",Soil Moisture 16",Soil Moisture 28",Soil Moisture 36",Soil Moisture 48",Soil Moisture 56",Pressure Switch 1 - Averaged
5/15/2020 4:00:00 PM,212.61,51.67,58.48,63.41,90.73,89.9,79.96,0
5/15/2020 3:00:00 PM,212.62,51.63,58.5,63.43,90.69,89.89,79.96,0
5/15/2020 2:00:00 PM,212.68,51.59,58.53,63.49,90.66,89.89,79.97,0
5/15/2020 1:00:00 PM,212.76,51.57,58.57,63.56,90.63,89.88,79.97,0
5/15/2020 12:00:00 PM,212.89,51.59,58.62,63.63,90.64,89.87,79.98,0
5/15/2020 11:00:00 AM,213.04,51.58,58.66,63.71,90.68,89.87,79.98,0
5/15/2020 10:00:00 AM,213.13,51.59,58.65,63.76,90.72,89.88,79.97,0
5/15/2020 9:00:00 AM,213.22,51.61,58.67,63.78,90.77,89.89,79.97,0
5/15/2020 8:00:00 AM,213.26,51.65,58.67,63.8,90.79,89.91,79.97,0
5/15/2020 7:00:00 AM,213.31,51.69,58.67,63.81,90.82,89.91,79.97,0
5/15/2020 6:00:00 AM,213.32,51.7,58.69,63.8,90.83,89.91,79.97,0
5/15/2020 5:00:00 AM,213.32,51.74,58.69,63.79,90.84,89.91,79.95,0
5/15/2020 4:00:00 AM,213.32,51.75,58.68,63.78,90.86,89.9,79.96,0
5/15/2020 3:00:00 AM,213.31,51.78,58.68,63.75,90.87,89.89,79.95,0
5/15/2020 2:00:00 AM,213.31,51.81,58.67,63.75,90.89,89.9,79.95,0
5/15/2020 1:00:00 AM,213.29,51.81,58.66,63.73,90.9,89.9,79.95,0
5/15/2020 12:00:00 AM,213.28,51.83,58.65,63.73,90.89,89.9,79.94,0
5/14/2020 11:00:00 PM,213.28,51.84,58.66,63.73,90.89,89.89,79.94,0
5/14/2020 10:00:00 PM,213.26,51.85,58.65,63.71,90.91,89.88,79.94,0
5/14/2020 9:00:00 PM,213.25,51.84,58.65,63.71,90.9,89.87,79.93,0
5/14/2020 8:00:00 PM,213.22,51.83,58.64,63.69,90.89,89.86,79.92,0
5/14/2020 7:00:00 PM,213.16,51.8,58.65,63.68,90.84,89.84,79.92,0
5/14/2020 6:00:00 PM,213.08,51.75,58.65,63.67,90.76,89.8,79.93,0
5/14/2020 5:00:00 PM,213.02,51.72,58.66,63.66,90.69,89.77,79.91,0
5/14/2020 4:00:00 PM,213.05,51.7,58.7,63.69,90.66,89.77,79.91,0
5/14/2020 3:00:00 PM,213.08,51.67,58.73,63.72,90.62,89.76,79.91,0
5/14/2020 2:00:00 PM,213.08,51.65,58.77,63.73,90.58,89.75,79.91,0
5/14/2020 1:00:00 PM,213.14,51.64,58.8,63.79,90.56,89.74,79.9,0
5/14/2020 12:00:00 PM,213.22,51.66,58.83,63.84,90.54,89.74,79.92,0
5/14/2020 11:00:00 AM,213.34,51.68,58.87,63.9,90.57,89.74,79.91,0
5/14/2020 10:00:00 AM,213.44,51.71,58.89,63.93,90.62,89.74,79.91,0
5/14/2020 9:00:00 AM,213.49,51.73,58.89,63.95,90.65,89.76,79.91,0
5/14/2020 8:00:00 AM,213.55,51.76,58.91,63.97,90.67,89.78,79.9,0
5/14/2020 7:00:00 AM,213.59,51.78,58.92,63.97,90.69,89.77,79.91,0
5/14/2020 6:00:00 AM,213.59,51.81,58.94,63.95,90.7,89.76,79.92,0
5/14/2020 5:00:00 AM,213.6,51.83,58.95,63.94,90.71,89.77,79.91,0
5/14/2020 4:00:00 AM,213.57,51.85,58.94,63.92,90.71,89.76,79.91,0
5/14/2020 3:00:00 AM,213.58,51.87,58.94,63.92,90.72,89.75,79.9,0
5/14/2020 2:00:00 AM,213.58,51.88,58.95,63.91,90.72,89.76,79.9,0
5/14/2020 1:00:00 AM,213.59,51.91,58.95,63.91,90.73,89.75,79.9,0
5/14/2020 12:00:00 AM,213.6,51.94,58.96,63.9,90.74,89.75,79.9,0
5/13/2020 11:00:00 PM,213.63,51.95,58.97,63.9,90.76,89.73,79.9,0
5/13/2020 10:00:00 PM,213.65,51.97,58.97,63.9,90.78,89.74,79.89,0
