Home Walnuts WS,Irrigation Zone 24"-48",Soil Moisture 12",Soil Moisture 24",Soil Moisture 36",Soil Moisture 48",Soil Moisture 60",Pressure Switch - Calculated
5/23/2020 12:00:00 AM,101.9,16.53,29.3,34.18,38.42,32.47,0
5/22/2020 12:00:00 AM,102.38,16.6,29.51,34.37,38.5,32.53,0
5/21/2020 12:00:00 AM,103.33,16.76,29.95,34.73,38.64,32.64,0
5/20/2020 12:00:00 AM,104.24,16.89,30.38,35.08,38.77,32.73,0
5/19/2020 12:00:00 AM,105.13,16.98,30.83,35.39,38.91,32.8,0
5/18/2020 12:00:00 AM,105.78,17.2,31.14,35.62,39.02,32.8,0
5/17/2020 12:00:00 AM,106.53,17.55,31.45,35.9,39.17,32.87,0
5/16/2020 12:00:00 AM,107.43,17.87,31.82,36.27,39.34,32.99,0
5/15/2020 12:00:00 AM,108.44,18.1,32.25,36.66,39.53,33.14,0
5/14/2020 12:00:00 AM,109.28,18.29,32.62,36.97,39.68,33.21,0
5/13/2020 12:00:00 AM,110.02,18.56,32.98,37.21,39.83,33.19,0
5/12/2020 12:00:00 AM,110.83,18.99,33.4,37.47,39.97,33.2,0
5/11/2020 12:00:00 AM,111.46,19.5,33.72,37.67,40.08,33.19,0
5/10/2020 12:00:00 AM,112.31,20.08,34.11,37.96,40.24,33.3,0
5/9/2020 12:00:00 AM,113.36,20.7,34.53,38.4,40.43,33.51,0
5/8/2020 12:00:00 AM,114.45,21.24,34.95,38.87,40.63,33.76,0
5/7/2020 12:00:00 AM,115.5,21.79,35.34,39.32,40.84,34.01,0
5/6/2020 12:00:00 AM,116.65,22.39,35.77,39.8,41.08,34.27,0
5/5/2020 12:00:00 AM,117.68,22.89,36.16,40.22,41.3,34.48,0
5/4/2020 12:00:00 AM,118.65,23.39,36.55,40.57,41.52,34.64,0
5/3/2020 12:00:00 AM,119.55,23.92,36.9,40.91,41.74,34.77,0
5/2/2020 12:00:00 AM,120.45,24.54,37.25,41.26,41.94,34.88,0
5/1/2020 12:00:00 AM,121.33,25.15,37.56,41.63,42.14,34.99,0
