Lynn’s Block WS,Pressure On/Off,Soil Moisture 8 in,Soil Moisture 16 in,Soil Moisture 24 in,Soil Moisture 32 in,Soil Moisture 40 in,Soil Moisture 44 in,Soil Moisture 48 in
5/22/2020 3:00:00 AM,0,35.88,54.03,51.69,60.9,64.51,66.25,67.76
5/22/2020 2:00:00 AM,0,35.96,54,51.67,60.88,64.61,66.26,67.76
5/22/2020 1:00:00 AM,0,36.03,54,51.64,60.87,64.63,66.22,67.75
5/22/2020 12:00:00 AM,0,36.1,53.92,51.61,60.86,64.66,66.22,67.75
5/21/2020 11:00:00 PM,0,36.21,53.82,51.58,60.85,64.69,66.18,67.75
5/21/2020 10:00:00 PM,0,36.25,53.75,51.57,60.83,64.69,66.12,67.75
5/21/2020 9:00:00 PM,0,36.34,53.73,51.54,60.8,64.7,66.07,67.74
5/21/2020 8:00:00 PM,0,36.4,53.67,51.49,60.77,64.68,66.05,67.73
5/21/2020 7:00:00 PM,0,36.41,53.6,51.47,60.75,64.69,66.05,67.7
5/21/2020 6:00:00 PM,0,36.45,53.55,51.41,60.75,64.67,66.07,67.69
5/21/2020 5:00:00 PM,0,36.41,53.53,51.33,60.75,64.71,66.07,67.68
5/21/2020 4:00:00 PM,0,36.37,53.6,51.31,60.76,64.72,66.07,67.68
5/21/2020 3:00:00 PM,0,36.29,53.65,51.32,60.79,64.78,66.1,67.69
5/21/2020 2:00:00 PM,0,36.26,53.75,51.35,60.85,64.83,66.1,67.71
5/21/2020 1:00:00 PM,0,36.25,53.82,51.43,60.89,64.83,66.09,67.74
5/21/2020 12:00:00 PM,0,36.19,53.94,51.49,60.92,64.78,66.11,67.76
5/21/2020 11:00:00 AM,0,36.22,54.03,51.52,60.95,64.68,66.13,67.77
5/21/2020 10:00:00 AM,0,36.25,54.14,51.53,60.98,64.56,66.14,67.78
5/21/2020 9:00:00 AM,0,36.35,54.21,51.52,61.02,64.5,66.16,67.78
5/21/2020 8:00:00 AM,0,36.35,54.28,51.54,61.06,64.45,66.17,67.79
5/21/2020 7:00:00 AM,0,36.45,54.29,51.59,61.06,64.43,66.18,67.79
5/21/2020 6:00:00 AM,0,36.49,54.26,51.67,61.06,64.4,66.16,67.79
5/21/2020 5:00:00 AM,0,36.58,54.22,51.6,61.05,64.42,66.15,67.79
5/21/2020 4:00:00 AM,0,36.67,54.2,51.6,61.04,64.33,66.11,67.79
5/21/2020 3:00:00 AM,0,36.74,54.15,51.61,61.02,64.29,66.06,67.78
5/21/2020 2:00:00 AM,0,36.79,54.1,51.63,61.02,64.23,66.04,67.78
5/21/2020 1:00:00 AM,0,36.85,54.05,51.62,61,64.19,66.01,67.78
5/21/2020 12:00:00 AM,0,36.92,54.03,51.55,60.99,64.11,66,67.77
5/20/2020 11:00:00 PM,0,36.99,53.97,51.45,60.98,64.1,65.96,67.77
5/20/2020 10:00:00 PM,0,37.03,53.9,51.34,60.96,64.08,65.91,67.77
5/20/2020 9:00:00 PM,0,37.07,53.83,51.3,60.96,64.1,65.88,67.76
5/20/2020 8:00:00 PM,0,37.1,53.77,51.25,60.94,64.1,65.87,67.75
5/20/2020 7:00:00 PM,0,37.15,53.77,51.26,60.92,64.13,65.86,67.73
5/20/2020 6:00:00 PM,0,37.17,53.7,51.26,60.92,64.12,65.85,67.71
5/20/2020 5:00:00 PM,0,37.2,53.69,51.25,60.92,64.14,65.85,67.71
5/20/2020 4:00:00 PM,0,37.19,53.72,51.26,60.94,64.15,65.85,67.71
5/20/2020 3:00:00 PM,0,37.1,53.79,51.27,60.98,64.16,65.86,67.72
5/20/2020 2:00:00 PM,0,37.07,53.88,51.33,61.04,64.19,65.88,67.74
5/20/2020 1:00:00 PM,0,37.03,54,51.39,61.05,64.3,65.92,67.76
5/20/2020 12:00:00 PM,0,36.98,54.07,51.42,61.07,64.42,65.92,67.78
5/20/2020 11:00:00 AM,0,36.97,54.16,51.52,61.09,64.45,65.88,67.79
5/20/2020 10:00:00 AM,0,37.01,54.26,51.54,61.12,64.6,65.82,67.79
5/20/2020 9:00:00 AM,0,37.08,54.22,51.55,61.14,64.64,65.71,67.79
5/20/2020 8:00:00 AM,0,37.13,54.25,51.6,61.16,64.65,65.73,67.79
5/20/2020 7:00:00 AM,0,37.2,54.25,51.62,61.18,64.67,65.72,67.8
5/20/2020 6:00:00 AM,0,37.24,54.25,51.64,61.18,64.65,65.73,67.8
5/20/2020 5:00:00 AM,0,37.29,54.23,51.67,61.18,64.61,65.73,67.79
5/20/2020 4:00:00 AM,0,37.35,54.22,51.61,61.16,64.53,65.73,67.79
5/20/2020 3:00:00 AM,0,37.44,54.19,51.57,61.15,64.41,65.73,67.79
5/20/2020 2:00:00 AM,0,37.44,54.23,51.56,61.15,64.24,65.76,67.78
5/20/2020 1:00:00 AM,0,37.5,54.22,51.54,61.12,64.05,65.78,67.78
5/20/2020 12:00:00 AM,0,37.55,54.18,51.51,61.1,63.96,65.82,67.78
5/19/2020 11:00:00 PM,0,37.65,54.11,51.45,61.1,63.91,65.82,67.77
5/19/2020 10:00:00 PM,0,37.64,54.03,51.4,61.08,63.87,65.82,67.76
5/19/2020 9:00:00 PM,0,37.68,53.98,51.39,61.05,63.81,65.8,67.74
5/19/2020 8:00:00 PM,0,37.72,53.88,51.37,61.04,63.85,65.78,67.73
5/19/2020 7:00:00 PM,0,37.72,53.86,51.37,61.02,63.85,65.79,67.72
5/19/2020 6:00:00 PM,0,37.79,53.84,51.38,61.03,63.83,65.81,67.71
5/19/2020 5:00:00 PM,0,37.78,53.85,51.38,61.04,63.83,65.83,67.71
5/19/2020 4:00:00 PM,0,37.74,53.88,51.38,61.05,63.85,65.84,67.7
