Meridian Walnuts WS,Irrigation Zone 28"-48",Soil Moisture 8",Soil Moisture 16",Soil Moisture 28",Soil Moisture 36",Soil Moisture 48",Soil Moisture 56",Dwyer Pressure Sensor 0-100,Pressure Switch - Calculated
5/23/2020 12:00:00 AM,176.56,66.68,51.64,60.78,58.6,57.18,65.97,0.07,0
5/22/2020 12:00:00 AM,176.59,68.27,52.28,60.79,58.62,57.18,65.97,0.05,0
5/21/2020 12:00:00 AM,176.78,69.88,50.73,60.87,58.72,57.19,65.98,34.97,0.756
5/20/2020 12:00:00 AM,176.97,60.37,46.33,60.96,58.81,57.2,65.99,12.82,0.279
5/19/2020 12:00:00 AM,177.17,62.22,46.94,61.07,58.88,57.22,66,0.18,0
5/18/2020 12:00:00 AM,177.32,65.11,48.19,61.16,58.94,57.22,66,0.16,0
5/17/2020 12:00:00 AM,177.57,62.59,47.38,61.29,59.03,57.25,66.02,0.03,0
5/16/2020 12:00:00 AM,177.96,61.03,46.73,61.49,59.17,57.3,66.06,0.02,0
5/15/2020 12:00:00 AM,178.35,62.69,47.02,61.7,59.31,57.34,66.09,0.04,0
5/14/2020 12:00:00 AM,178.64,64.52,47.72,61.87,59.42,57.35,66.09,0.05,0
5/13/2020 12:00:00 AM,178.88,64.93,49.18,62.04,59.53,57.31,66.05,22.76,0.523
5/12/2020 12:00:00 AM,179.28,53.21,45.9,62.3,59.65,57.32,66.05,12.73,0.279
5/11/2020 12:00:00 AM,179.52,53.52,46.18,62.49,59.7,57.34,66.06,0.47,0
5/10/2020 12:00:00 AM,179.95,54.77,46.41,62.75,59.81,57.4,66.13,1.04,0
5/9/2020 12:00:00 AM,181.01,55.17,46.77,63.32,60.12,57.56,66.28,31.11,0.686
5/8/2020 12:00:00 AM,182.68,52.33,47.27,64.19,60.41,58.07,66.68,11.63,0.279
5/7/2020 12:00:00 AM,184.84,52.68,47.75,65.15,60.75,58.94,67.3,0.89,0
5/6/2020 12:00:00 AM,187.33,53.12,48.29,66.2,61.15,59.98,67.99,1.71,0
5/5/2020 12:00:00 AM,189.76,53.48,48.81,67.21,61.54,61.01,68.63,0.75,0
5/4/2020 12:00:00 AM,192.18,53.89,49.43,68.19,61.94,62.05,69.26,0.23,0
5/3/2020 12:00:00 AM,194.41,54.39,50.1,69.03,62.31,63.07,69.81,0.22,0
5/2/2020 12:00:00 AM,196.49,54.94,50.77,69.77,62.65,64.07,70.34,0.23,0
5/1/2020 12:00:00 AM,198.88,55.56,51.5,70.57,63.02,65.29,70.95,0.44,0
4/30/2020 12:00:00 AM,201.45,56.4,52.39,71.47,63.43,66.55,71.67,0.6,0
4/29/2020 12:00:00 AM,203.87,57.28,53.27,72.33,63.91,67.63,72.35,0.4,0
4/28/2020 12:00:00 AM,206.64,58.34,54.28,73.35,64.64,68.66,73.11,0.4,0
4/27/2020 12:00:00 AM,209.14,59.51,55.33,74.29,65.48,69.38,73.72,0.22,0
4/26/2020 12:00:00 AM,211.55,60.96,56.38,75.2,66.41,69.94,74.19,0.03,0
4/25/2020 12:00:00 AM,213.46,62.35,57.27,75.97,67.18,70.31,74.52,0,0
4/24/2020 12:00:00 AM,215.28,64.08,58.34,76.74,67.91,70.63,74.83,2.26,0.291
4/23/2020 12:00:00 AM,216.52,65.97,59.38,77.25,68.41,70.86,75.1,3.85,0.419
4/22/2020 12:00:00 AM,217.04,67.57,60.03,77.47,68.61,70.96,75.29,3.27,0
4/21/2020 12:00:00 AM,217.24,68.87,60.41,77.58,68.67,70.99,75.36,3.02,0
4/20/2020 12:00:00 AM,217.29,69.87,60.67,77.62,68.67,71,75.42,2.53,0
4/19/2020 12:00:00 AM,217.28,70.59,60.83,77.63,68.64,71,75.47,2.76,0
4/18/2020 12:00:00 AM,217.22,71.14,60.96,77.6,68.6,71.02,75.56,3.1,0
4/17/2020 12:00:00 AM,217.13,71.51,61,77.53,68.54,71.06,75.73,2.56,0.012
4/16/2020 12:00:00 AM,217,71.59,60.94,77.45,68.49,71.06,75.86,2.14,0
4/15/2020 12:00:00 AM,216.9,71.52,60.88,77.39,68.45,71.06,75.88,2.04,0
4/14/2020 12:00:00 AM,216.79,71.51,60.86,77.32,68.4,71.07,75.99,1.36,0
4/13/2020 12:00:00 AM,216.68,71.61,60.84,77.24,68.35,71.09,76.09,1.64,0
4/12/2020 12:00:00 AM,216.56,71.62,60.77,77.16,68.3,71.1,76.19,3.08,0
4/11/2020 12:00:00 AM,216.46,71.53,60.68,77.09,68.27,71.1,76.25,3.31,0
4/10/2020 12:00:00 AM,216.41,71.36,60.6,77.05,68.25,71.1,76.29,2.15,0.012
4/9/2020 12:00:00 AM,216.39,71.37,60.64,77.03,68.24,71.12,76.34,1.62,0
4/8/2020 12:00:00 AM,216.4,71.48,60.66,77.01,68.24,71.15,76.49,2.69,0
4/7/2020 12:00:00 AM,216.43,71.49,60.73,77.03,68.27,71.13,76.41,1.47,0
4/6/2020 12:00:00 AM,216.77,71.87,61.22,77.19,68.41,71.17,76.55,1.08,0
4/5/2020 12:00:00 AM,218.44,72.97,62.3,77.94,69,71.5,76.76,0.92,0
4/4/2020 12:00:00 AM,215.74,70.93,60.83,76.76,68.1,70.87,76.2,0.94,0
4/3/2020 12:00:00 AM,215.61,67.9,59.25,76.76,68.06,70.79,75.96,0.93,0
4/2/2020 12:00:00 AM,215.47,68.03,59.28,76.74,68.03,70.71,75.72,0.94,0
4/1/2020 12:00:00 AM,215.32,68.28,59.3,76.69,68,70.64,75.53,2.49,0
3/31/2020 12:00:00 AM,215.19,68.29,59.22,76.64,67.98,70.57,75.27,2.36,0
3/30/2020 12:00:00 AM,215.13,68.23,59.16,76.61,67.98,70.54,75.15,2.02,0
3/29/2020 12:00:00 AM,215.12,68.19,59.13,76.6,67.98,70.54,75.12,0.94,0
3/28/2020 12:00:00 AM,215.14,68.22,59.12,76.6,67.98,70.57,75.18,0.9,0
3/27/2020 12:00:00 AM,215.2,68.17,59.11,76.61,67.99,70.6,75.3,0.87,0
3/26/2020 12:00:00 AM,215.26,68.21,59.15,76.64,68,70.62,75.33,1.23,0
3/25/2020 12:00:00 AM,215.31,68.37,59.24,76.66,68,70.65,75.43,2.69,0
3/24/2020 12:00:00 AM,215.27,68.69,59.33,76.63,67.98,70.66,75.51,2.04,0
3/23/2020 12:00:00 AM,215.23,68.8,59.27,76.59,67.97,70.67,75.53,1.46,0
