Meridian Walnuts WS,Irrigation Zone 28"-48",Soil Moisture 8",Soil Moisture 16",Soil Moisture 28",Soil Moisture 36",Soil Moisture 48",Soil Moisture 56",Dwyer Pressure Sensor 0-100,Pressure Switch - Calculated
5/28/2020 11:00:00 AM,176.39,64.58,53.49,60.87,58.38,57.14,65.94,-0.01,0
5/28/2020 10:00:00 AM,176.39,64.79,53.59,60.87,58.38,57.14,65.95,0.01,0
5/28/2020 9:00:00 AM,176.38,64.81,53.66,60.87,58.37,57.14,65.95,0,0
5/28/2020 8:00:00 AM,176.37,64.85,53.74,60.86,58.37,57.14,65.95,-0.01,0
5/28/2020 7:00:00 AM,176.36,64.91,53.76,60.85,58.37,57.14,65.96,-0.01,0
5/28/2020 6:00:00 AM,176.37,64.92,53.76,60.85,58.37,57.14,65.95,0.03,0
5/28/2020 5:00:00 AM,176.35,64.94,53.76,60.85,58.36,57.14,65.94,0.02,0
5/28/2020 4:00:00 AM,176.33,64.95,53.75,60.84,58.35,57.14,65.95,-0.01,0
5/28/2020 3:00:00 AM,176.33,64.95,53.78,60.82,58.36,57.14,65.94,0.01,0
5/28/2020 2:00:00 AM,176.32,64.93,53.79,60.82,58.36,57.14,65.94,0,0
5/28/2020 1:00:00 AM,176.31,64.92,53.78,60.81,58.36,57.14,65.94,0.03,0
5/28/2020 12:00:00 AM,176.3,64.91,53.77,60.8,58.36,57.14,65.94,0.04,0
5/27/2020 11:00:00 PM,176.29,64.9,53.77,60.8,58.34,57.14,65.93,0.01,0
5/27/2020 10:00:00 PM,176.25,64.85,53.75,60.79,58.34,57.12,65.93,0,0
5/27/2020 9:00:00 PM,176.24,64.81,53.77,60.78,58.34,57.12,65.92,0.03,0
5/27/2020 8:00:00 PM,176.21,64.8,53.77,60.76,58.33,57.12,65.92,0.05,0
5/27/2020 7:00:00 PM,176.21,64.78,53.8,60.76,58.33,57.11,65.92,0.02,0
5/27/2020 6:00:00 PM,176.18,64.85,53.84,60.75,58.33,57.1,65.92,0.04,0
5/27/2020 5:00:00 PM,176.19,64.98,53.92,60.75,58.33,57.12,65.9,0.01,0
5/27/2020 4:00:00 PM,176.2,65.17,54.02,60.75,58.34,57.12,65.92,0.02,0
5/27/2020 3:00:00 PM,176.23,65.4,54.13,60.75,58.35,57.12,65.93,-0.03,0
5/27/2020 2:00:00 PM,176.26,65.69,54.26,60.77,58.36,57.13,65.93,-0.01,0
5/27/2020 1:00:00 PM,176.25,65.96,54.38,60.75,58.36,57.13,65.94,-0.02,0
5/27/2020 12:00:00 PM,176.24,66.23,54.49,60.75,58.34,57.14,65.95,-0.04,0
5/27/2020 11:00:00 AM,176.29,66.5,54.6,60.77,58.36,57.16,65.97,-0.03,0
5/27/2020 10:00:00 AM,176.28,66.72,54.69,60.76,58.37,57.15,65.97,-0.02,0
5/27/2020 9:00:00 AM,176.27,66.88,54.75,60.75,58.37,57.15,65.97,-0.01,0
5/27/2020 8:00:00 AM,176.28,66.99,54.79,60.76,58.37,57.15,65.96,-0.03,0
5/27/2020 7:00:00 AM,176.27,67.02,54.8,60.75,58.37,57.15,65.97,-0.03,0
5/27/2020 6:00:00 AM,176.28,67.03,54.79,60.75,58.37,57.16,65.97,0,0
5/27/2020 5:00:00 AM,176.26,67.01,54.79,60.75,58.37,57.15,65.97,-0.01,0
5/27/2020 4:00:00 AM,176.26,66.99,54.78,60.75,58.35,57.17,65.97,-0.02,0
5/27/2020 3:00:00 AM,176.22,66.97,54.77,60.73,58.34,57.14,65.96,-0.01,0
5/27/2020 2:00:00 AM,176.24,66.95,54.74,60.73,58.36,57.15,65.97,-0.03,0
5/27/2020 1:00:00 AM,176.22,66.91,54.73,60.71,58.36,57.15,65.96,-0.03,0
5/27/2020 12:00:00 AM,176.21,66.87,54.71,60.71,58.36,57.14,65.96,0,0
5/26/2020 11:00:00 PM,176.2,66.82,54.71,60.71,58.35,57.14,65.96,0.02,0
5/26/2020 10:00:00 PM,176.19,66.8,54.68,60.7,58.35,57.14,65.96,0,0
5/26/2020 9:00:00 PM,176.16,66.73,54.65,60.69,58.34,57.13,65.95,-0.03,0
5/26/2020 8:00:00 PM,176.14,66.67,54.65,60.68,58.34,57.12,65.94,-0.01,0
5/26/2020 7:00:00 PM,176.14,66.6,54.64,60.67,58.34,57.14,65.94,0,0
5/26/2020 6:00:00 PM,176.12,66.6,54.65,60.66,58.34,57.12,65.93,-0.01,0
5/26/2020 5:00:00 PM,176.11,66.65,54.69,60.66,58.34,57.12,65.93,-0.01,0
5/26/2020 4:00:00 PM,176.12,66.83,54.76,60.65,58.34,57.12,65.93,-0.03,0
5/26/2020 3:00:00 PM,176.13,67.04,54.85,60.65,58.35,57.13,65.93,-0.04,0
5/26/2020 2:00:00 PM,176.16,67.29,54.94,60.66,58.37,57.13,65.94,-0.03,0
5/26/2020 1:00:00 PM,176.17,67.51,55.04,60.66,58.36,57.14,65.96,-0.04,0
5/26/2020 12:00:00 PM,176.18,67.78,55.14,60.67,58.37,57.14,65.97,-0.06,0
5/26/2020 11:00:00 AM,176.21,68,55.24,60.68,58.38,57.15,65.97,-0.05,0
5/26/2020 10:00:00 AM,176.22,68.18,55.32,60.68,58.38,57.16,65.97,-0.04,0
5/26/2020 9:00:00 AM,176.23,68.37,55.4,60.69,58.38,57.16,65.97,-0.03,0
5/26/2020 8:00:00 AM,176.23,68.46,55.45,60.68,58.38,57.17,65.97,-0.02,0
5/26/2020 7:00:00 AM,176.21,68.54,55.47,60.69,58.37,57.16,65.98,0,0
5/26/2020 6:00:00 AM,176.22,68.55,55.47,60.67,58.39,57.16,65.97,0.01,0
5/26/2020 5:00:00 AM,176.21,68.54,55.47,60.68,58.37,57.17,65.98,-0.04,0
5/26/2020 4:00:00 AM,176.21,68.54,55.46,60.66,58.39,57.16,65.97,0.02,0
5/26/2020 3:00:00 AM,176.2,68.54,55.46,60.66,58.37,57.16,65.97,0,0
5/26/2020 2:00:00 AM,176.18,68.52,55.45,60.65,58.38,57.16,65.96,-0.02,0
5/26/2020 1:00:00 AM,176.18,68.49,55.44,60.66,58.37,57.15,65.97,0,0
5/26/2020 12:00:00 AM,176.19,68.46,55.42,60.65,58.39,57.15,65.97,-0.03,0
5/25/2020 11:00:00 PM,176.18,68.43,55.43,60.65,58.38,57.15,65.96,0,0
5/25/2020 10:00:00 PM,176.16,68.41,55.41,60.64,58.37,57.15,65.96,0,0
5/25/2020 9:00:00 PM,176.18,68.37,55.41,60.64,58.38,57.15,65.95,-0.03,0
5/25/2020 8:00:00 PM,176.14,68.31,55.4,60.62,58.37,57.15,65.95,-0.02,0
5/25/2020 7:00:00 PM,176.13,68.28,55.4,60.62,58.37,57.14,65.94,-0.03,0
5/25/2020 6:00:00 PM,176.13,68.3,55.41,60.62,58.37,57.14,65.95,-0.02,0
