South Sommers,Irrigation Zone 28"-48",Soil Moisture 8",Soil Moisture 16",Soil Moisture 28",Soil Moisture 36",Soil Moisture 48",Soil Moisture 56",Dwyer Pressure Sensor 0-100,Pressure Switch - Calculated
5/22/2020 12:00:00 AM,220.3,66.01,67.3,65.92,76.38,78,83.75,0.31,0
5/21/2020 12:00:00 AM,220.24,65.98,67.26,65.92,76.35,77.97,83.75,0.25,0
5/20/2020 12:00:00 AM,220.5,65.76,67.26,65.99,76.47,78.04,83.7,0.38,0
5/19/2020 12:00:00 AM,220.53,65.65,67.34,66.03,76.47,78.03,83.69,0.41,0
5/18/2020 12:00:00 AM,220.5,65.64,67.38,66.04,76.45,78.01,83.67,0.37,0
5/17/2020 12:00:00 AM,220.51,65.66,67.4,66.06,76.45,78,83.67,0.26,0
5/16/2020 12:00:00 AM,220.52,65.65,67.38,66.07,76.45,78,83.65,0.2,0
5/14/2020 12:00:00 AM,220.92,65.44,67.45,66.2,76.64,78.08,83.53,0.32,0
5/12/2020 12:00:00 AM,220.99,65.64,67.65,66.32,76.63,78.04,83.5,0.31,0
5/11/2020 12:00:00 AM,220.97,65.75,67.8,66.35,76.61,78,83.48,0.26,0
5/2/2020 12:00:00 AM,222.64,67.74,68.99,66.89,77.24,78.51,83.11,0.38,0
5/1/2020 12:00:00 AM,222.75,68.09,69.19,66.93,77.26,78.56,83.05,0.43,0
4/30/2020 12:00:00 AM,222.8,68.42,69.33,66.94,77.26,78.59,83,0.28,0
4/29/2020 12:00:00 AM,222.95,68.91,69.53,66.98,77.3,78.67,82.95,0.2,0
4/28/2020 12:00:00 AM,223.13,69.33,69.75,67.04,77.34,78.74,82.92,0.2,0
4/27/2020 12:00:00 AM,223.4,69.93,70.15,67.14,77.42,78.85,82.88,0.23,0
4/26/2020 12:00:00 AM,223.54,70.56,70.54,67.18,77.44,78.92,82.84,0.16,0
4/25/2020 12:00:00 AM,223.61,71.26,70.84,67.2,77.45,78.96,82.83,0.17,0
4/24/2020 12:00:00 AM,223.73,72.16,71.26,67.24,77.48,79,82.81,0.15,0
4/23/2020 12:00:00 AM,223.8,73.32,71.69,67.28,77.5,79.02,82.8,0.29,0
4/22/2020 12:00:00 AM,223.83,73.98,71.93,67.31,77.5,79.02,82.78,0.4,0
4/21/2020 12:00:00 AM,223.82,74.29,72.12,67.33,77.48,79,82.76,0.46,0
4/20/2020 12:00:00 AM,223.75,74.77,72.31,67.32,77.44,78.98,82.74,0.47,0
4/19/2020 12:00:00 AM,223.65,75.07,72.4,67.29,77.4,78.96,82.72,0.46,0
4/18/2020 12:00:00 AM,223.5,75.4,72.47,67.23,77.34,78.93,82.71,0.46,0
4/17/2020 12:00:00 AM,223.33,75.69,72.45,67.15,77.27,78.91,82.69,0.45,0
4/16/2020 12:00:00 AM,223.19,75.64,72.33,67.08,77.22,78.89,82.68,0.43,0
4/15/2020 12:00:00 AM,223.06,75.54,72.24,67.01,77.17,78.88,82.67,0.45,0
4/14/2020 12:00:00 AM,222.95,75.48,72.19,66.95,77.12,78.87,82.66,0.51,0
4/13/2020 12:00:00 AM,222.81,75.56,72.13,66.88,77.07,78.86,82.66,0.58,0
4/12/2020 12:00:00 AM,222.7,75.51,72.01,66.81,77.03,78.86,82.65,0.61,0
4/11/2020 12:00:00 AM,222.62,75.37,71.88,66.75,77.01,78.85,82.66,0.69,0
4/10/2020 12:00:00 AM,222.59,75.16,71.77,66.73,77.01,78.86,82.65,0.72,0
4/9/2020 12:00:00 AM,222.59,75.15,71.77,66.72,77.01,78.86,82.66,0.75,0
4/8/2020 12:00:00 AM,222.58,75.34,71.74,66.71,77.02,78.85,82.65,0.75,0
4/7/2020 12:00:00 AM,222.61,75.29,71.63,66.72,77.04,78.85,82.64,0.75,0
4/6/2020 12:00:00 AM,222.67,75.43,71.47,66.77,77.05,78.84,82.64,0.78,0
4/5/2020 12:00:00 AM,222.64,74.54,71,66.79,77.04,78.81,82.63,0.8,0
4/4/2020 12:00:00 AM,222.58,72.54,71.07,66.78,77.01,78.79,82.62,0.63,0
4/3/2020 12:00:00 AM,222.52,72.53,71.01,66.75,76.98,78.79,82.62,0.53,0
4/2/2020 12:00:00 AM,222.45,72.52,71.01,66.72,76.95,78.78,82.62,0.53,0
4/1/2020 12:00:00 AM,222.36,72.66,70.97,66.66,76.91,78.78,82.62,0.6,0
3/31/2020 12:00:00 AM,222.31,72.47,70.82,66.62,76.9,78.79,82.62,0.62,0
3/30/2020 12:00:00 AM,222.3,72.24,70.72,66.6,76.9,78.8,82.63,0.64,0
3/29/2020 12:00:00 AM,222.3,72.07,70.68,66.6,76.9,78.81,82.63,0.66,0
3/28/2020 12:00:00 AM,222.33,72.11,70.68,66.6,76.91,78.81,82.64,0.69,0
3/27/2020 12:00:00 AM,222.37,72.01,70.65,66.62,76.93,78.82,82.64,0.67,0
3/26/2020 12:00:00 AM,222.43,71.94,70.68,66.65,76.95,78.83,82.64,0.73,0
3/25/2020 12:00:00 AM,222.47,72.1,70.8,66.69,76.95,78.83,82.65,0.72,0
3/24/2020 12:00:00 AM,222.47,72.44,70.9,66.69,76.94,78.84,82.65,0.7,0
3/23/2020 12:00:00 AM,222.46,72.6,70.86,66.68,76.92,78.85,82.66,0.67,0
3/22/2020 12:00:00 AM,222.47,72.44,70.75,66.67,76.93,78.87,82.66,0.66,0
3/21/2020 12:00:00 AM,222.53,72.3,70.67,66.67,76.96,78.89,82.67,0.75,0
3/20/2020 12:00:00 AM,222.62,72.14,70.62,66.69,77.01,78.91,82.68,0.81,0
3/19/2020 12:00:00 AM,222.74,71.98,70.65,66.74,77.08,78.93,82.68,0.82,0
3/18/2020 12:00:00 AM,222.86,72.13,70.8,66.79,77.14,78.93,82.68,0.86,0
3/17/2020 12:00:00 AM,223,72.31,70.96,66.88,77.19,78.93,82.67,0.8,0
3/16/2020 12:00:00 AM,223.1,72.54,71.16,66.95,77.23,78.92,82.66,0.74,0
3/15/2020 12:00:00 AM,223.15,72.95,71.4,67.01,77.23,78.91,82.65,0.7,0
3/14/2020 12:00:00 AM,223.09,73.51,71.58,67,77.2,78.89,82.63,0.69,0
3/13/2020 12:00:00 AM,223,73.75,71.57,66.96,77.17,78.87,82.62,0.55,0
3/12/2020 12:00:00 AM,222.92,73.72,71.49,66.91,77.14,78.87,82.61,0.57,0
3/11/2020 12:00:00 AM,222.89,73.59,71.37,66.87,77.14,78.87,82.61,0.62,0
3/10/2020 12:00:00 AM,222.88,73.37,71.3,66.86,77.15,78.87,82.61,0.63,0
3/9/2020 12:00:00 AM,222.92,73.26,71.3,66.89,77.17,78.86,82.6,0.65,0
3/8/2020 12:00:00 AM,222.95,73.28,71.4,66.92,77.17,78.85,82.6,0.7,0
3/7/2020 12:00:00 AM,222.91,73.66,71.54,66.92,77.15,78.84,82.59,0.69,0
3/6/2020 12:00:00 AM,222.82,73.92,71.58,66.88,77.11,78.83,82.59,0.64,0
3/5/2020 12:00:00 AM,222.73,73.94,71.52,66.83,77.08,78.82,82.58,0.61,0
3/4/2020 12:00:00 AM,222.65,73.89,71.43,66.79,77.05,78.81,82.57,0.61,0
3/3/2020 12:00:00 AM,222.61,73.69,71.32,66.77,77.05,78.8,82.57,0.57,0
3/2/2020 12:00:00 AM,222.6,73.49,71.34,66.78,77.04,78.78,82.56,0.6,0
3/1/2020 12:00:00 AM,222.53,73.78,71.42,66.76,77.01,78.77,82.55,0.64,0
2/29/2020 12:00:00 AM,222.45,73.87,71.4,66.72,76.97,78.75,82.54,0.62,0
2/28/2020 12:00:00 AM,222.35,73.84,71.36,66.68,76.93,78.74,82.52,0.6,0
2/27/2020 12:00:00 AM,222.27,73.82,71.3,66.64,76.9,78.73,82.51,0.62,0
2/26/2020 12:00:00 AM,222.19,73.78,71.23,66.59,76.87,78.72,82.5,0.62,0
2/25/2020 12:00:00 AM,222.13,73.64,71.14,66.56,76.85,78.72,82.48,0.58,0
2/24/2020 12:00:00 AM,222.1,73.51,71.11,66.55,76.84,78.72,82.48,0.63,0
2/23/2020 12:00:00 AM,222.04,73.58,71.1,66.52,76.82,78.71,82.47,0.65,0
2/22/2020 12:00:00 AM,222,73.53,71.05,66.49,76.8,78.71,82.47,0.65,0
2/21/2020 12:00:00 AM,221.96,73.47,71.01,66.48,76.79,78.7,82.47,0.68,0
2/20/2020 12:00:00 AM,221.94,73.45,71,66.46,76.78,78.7,82.47,0.69,0
2/19/2020 12:00:00 AM,221.91,73.46,71.01,66.45,76.76,78.7,82.47,0.71,0
2/18/2020 12:00:00 AM,221.87,73.54,71.02,66.43,76.74,78.69,82.47,0.68,0
2/17/2020 12:00:00 AM,221.83,73.58,71,66.42,76.72,78.69,82.47,0.69,0
2/16/2020 12:00:00 AM,221.82,73.53,70.93,66.41,76.71,78.7,82.47,0.76,0
2/15/2020 12:00:00 AM,221.81,73.39,70.9,66.41,76.7,78.7,82.48,0.79,0
2/14/2020 12:00:00 AM,221.8,73.44,70.91,66.41,76.68,78.71,82.49,0.81,0
2/13/2020 12:00:00 AM,221.78,73.49,70.89,66.41,76.66,78.72,82.5,0.8,0
2/12/2020 12:00:00 AM,221.79,73.51,70.83,66.41,76.65,78.73,82.52,0.79,0
2/11/2020 12:00:00 AM,221.81,73.37,70.72,66.41,76.66,78.74,82.53,0.72,0
2/10/2020 12:00:00 AM,221.85,73.11,70.65,66.41,76.67,78.76,82.54,0.75,0
2/9/2020 12:00:00 AM,221.89,73.09,70.68,66.42,76.69,78.78,82.55,0.79,0
2/8/2020 12:00:00 AM,221.94,73.15,70.68,66.42,76.72,78.8,82.57,0.82,0
2/7/2020 12:00:00 AM,222.01,73.08,70.67,66.43,76.76,78.82,82.58,0.83,0
2/6/2020 12:00:00 AM,222.1,73.01,70.69,66.45,76.81,78.84,82.58,0.84,0
2/5/2020 12:00:00 AM,222.22,72.99,70.78,66.49,76.88,78.85,82.59,0.85,0
2/4/2020 12:00:00 AM,222.35,73.16,70.99,66.56,76.93,78.86,82.58,0.85,0
2/3/2020 12:00:00 AM,222.43,73.62,71.26,66.62,76.95,78.86,82.59,0.87,0
2/2/2020 12:00:00 AM,222.44,74.19,71.43,66.64,76.94,78.85,82.58,0.87,0
2/1/2020 12:00:00 AM,222.45,74.3,71.47,66.67,76.94,78.85,82.57,0.89,0
1/31/2020 12:00:00 AM,222.46,74.4,71.52,66.69,76.93,78.84,82.56,0.88,0
1/30/2020 12:00:00 AM,222.49,74.45,71.56,66.71,76.93,78.84,82.56,0.79,0
1/29/2020 12:00:00 AM,222.5,74.56,71.66,66.75,76.92,78.83,82.55,0.87,0
