South Sommers,Irrigation Zone 28"-48",Soil Moisture 8",Soil Moisture 16",Soil Moisture 28",Soil Moisture 36",Soil Moisture 48",Soil Moisture 56",Dwyer Pressure Sensor 0-100,Pressure Switch - Calculated
5/24/2020 6:00:00 AM,220.2,78.7,70.47,65.87,76.33,78,83.79,49.05,1
5/24/2020 5:00:00 AM,220.2,78.68,69.41,65.87,76.33,78,83.79,48.75,1
5/24/2020 4:00:00 AM,220.2,78.63,68.9,65.87,76.33,78,83.77,48.75,1
5/22/2020 5:00:00 AM,220.3,66.01,67.31,65.92,76.38,78,83.75,0.34,0
5/22/2020 4:00:00 AM,220.31,66.01,67.31,65.92,76.39,78,83.76,0.31,0
5/22/2020 3:00:00 AM,220.3,66.01,67.31,65.92,76.38,78,83.75,0.3,0
5/22/2020 2:00:00 AM,220.3,66.01,67.28,65.92,76.38,78,83.75,0.28,0
5/22/2020 1:00:00 AM,220.3,66.01,67.28,65.92,76.38,78,83.75,0.25,0
5/22/2020 12:00:00 AM,220.27,65.98,67.28,65.92,76.38,77.97,83.77,0.25,0
5/21/2020 11:00:00 PM,220.24,65.98,67.26,65.92,76.35,77.97,83.75,0.25,0
5/20/2020 7:00:00 AM,220.51,65.75,67.26,65.99,76.47,78.05,83.7,0.38,0
5/20/2020 4:00:00 AM,220.49,65.77,67.26,65.99,76.47,78.03,83.7,0.38,0
5/19/2020 11:00:00 AM,220.53,65.58,67.31,66.04,76.47,78.03,83.67,0.35,0
5/19/2020 8:00:00 AM,220.53,65.6,67.31,66.04,76.47,78.03,83.7,0.38,0
5/19/2020 4:00:00 AM,220.53,65.66,67.36,66.02,76.47,78.04,83.69,0.43,0
5/19/2020 3:00:00 AM,220.53,65.68,67.36,66.04,76.47,78.03,83.67,0.43,0
5/19/2020 2:00:00 AM,220.53,65.68,67.33,66.04,76.47,78.03,83.67,0.43,0
5/19/2020 1:00:00 AM,220.53,65.68,67.33,66.04,76.47,78.03,83.7,0.43,0
5/18/2020 9:00:00 PM,220.46,65.65,67.36,66.01,76.45,78,83.7,0.38,0
5/18/2020 8:00:00 PM,220.48,65.66,67.36,66.02,76.45,78,83.69,0.38,0
5/18/2020 7:00:00 PM,220.44,65.64,67.33,66.02,76.42,77.99,83.67,0.36,0
5/18/2020 6:00:00 PM,220.49,65.61,67.35,66.04,76.44,78,83.68,0.34,0
5/18/2020 12:00:00 PM,220.49,65.58,67.4,66.04,76.45,78,83.67,0.35,0
5/18/2020 9:00:00 AM,220.56,65.63,67.4,66.06,76.47,78.03,83.67,0.38,0
5/18/2020 8:00:00 AM,220.53,65.64,67.41,66.04,76.48,78.02,83.67,0.38,0
5/18/2020 7:00:00 AM,220.53,65.68,67.42,66.04,76.47,78.03,83.67,0.4,0
5/18/2020 6:00:00 AM,220.53,65.68,67.43,66.04,76.47,78.03,83.67,0.4,0
5/18/2020 1:00:00 AM,220.51,65.65,67.4,66.06,76.45,78,83.67,0.3,0
5/17/2020 10:00:00 PM,220.51,65.66,67.4,66.06,76.45,78,83.67,0.26,0
5/16/2020 9:00:00 PM,220.52,65.65,67.38,66.07,76.45,78,83.65,0.2,0
5/14/2020 12:00:00 PM,220.92,65.44,67.45,66.2,76.64,78.08,83.53,0.32,0
5/12/2020 7:00:00 PM,221.01,65.65,67.65,66.32,76.64,78.05,83.51,0.32,0
5/12/2020 6:00:00 PM,220.94,65.63,67.62,66.29,76.61,78.03,83.51,0.32,0
5/12/2020 5:00:00 PM,220.96,65.63,67.65,66.32,76.61,78.03,83.51,0.3,0
5/12/2020 2:00:00 PM,221.06,65.65,67.67,66.34,76.66,78.05,83.48,0.3,0
5/11/2020 4:00:00 PM,220.96,65.75,67.79,66.34,76.61,78,83.48,0.28,0
5/11/2020 3:00:00 PM,220.98,65.75,67.81,66.36,76.61,78,83.48,0.25,0
5/2/2020 2:00:00 AM,222.66,67.75,68.97,66.9,77.24,78.52,83.12,0.4,0
5/2/2020 1:00:00 AM,222.64,67.75,69,66.88,77.24,78.52,83.1,0.38,0
5/2/2020 12:00:00 AM,222.61,67.72,69,66.88,77.24,78.5,83.1,0.38,0
5/1/2020 11:00:00 PM,222.64,67.72,69,66.9,77.22,78.52,83.1,0.35,0
5/1/2020 10:00:00 PM,222.61,67.75,69,66.88,77.24,78.5,83.1,0.35,0
5/1/2020 7:00:00 AM,222.79,68.06,69.22,66.93,77.29,78.58,83.05,0.47,0
5/1/2020 6:00:00 AM,222.8,68.11,69.24,66.94,77.29,78.58,83.05,0.47,0
5/1/2020 5:00:00 AM,222.8,68.11,69.23,66.95,77.29,78.56,83.05,0.47,0
5/1/2020 4:00:00 AM,222.79,68.14,69.22,66.94,77.28,78.57,83.05,0.46,0
5/1/2020 3:00:00 AM,222.77,68.16,69.21,66.94,77.27,78.56,83.05,0.46,0
5/1/2020 2:00:00 AM,222.76,68.18,69.19,66.93,77.26,78.58,83.05,0.43,0
5/1/2020 1:00:00 AM,222.71,68.18,69.19,66.93,77.24,78.55,83.05,0.4,0
5/1/2020 12:00:00 AM,222.72,68.2,69.19,66.93,77.24,78.56,83.05,0.38,0
4/30/2020 8:00:00 PM,222.65,68.19,69.19,66.9,77.22,78.54,83.02,0.28,0
4/30/2020 7:00:00 PM,222.68,68.16,69.19,66.91,77.22,78.55,83.02,0.26,0
4/30/2020 6:00:00 PM,222.68,68.14,69.21,66.91,77.22,78.55,83.02,0.25,0
4/30/2020 9:00:00 AM,222.91,68.51,69.41,66.97,77.31,78.63,82.98,0.32,0
4/30/2020 8:00:00 AM,222.94,68.56,69.43,66.99,77.32,78.64,82.99,0.34,0
4/30/2020 1:00:00 AM,222.86,68.68,69.42,66.96,77.29,78.61,82.99,0.24,0
4/30/2020 12:00:00 AM,222.84,68.68,69.41,66.95,77.27,78.61,82.98,0.22,0
4/29/2020 10:00:00 PM,222.83,68.68,69.39,66.94,77.26,78.63,82.98,0.2,0
4/29/2020 9:00:00 PM,222.82,68.65,69.39,66.94,77.25,78.62,82.97,0.18,0
4/29/2020 7:00:00 PM,222.79,68.65,69.39,66.95,77.24,78.6,82.98,0.17,0
4/29/2020 6:00:00 PM,222.8,68.65,69.38,66.95,77.24,78.61,82.95,0.13,0
4/29/2020 2:00:00 PM,222.89,68.72,69.48,66.97,77.26,78.65,82.95,0.08,0
4/29/2020 10:00:00 AM,223.04,68.96,69.61,67,77.33,78.71,82.95,0.17,0
4/29/2020 9:00:00 AM,223.02,68.97,69.61,67,77.33,78.69,82.94,0.19,0
4/29/2020 8:00:00 AM,223.06,69.01,69.61,67.02,77.33,78.71,82.95,0.22,0
4/29/2020 7:00:00 AM,223.06,69.02,69.61,67.02,77.33,78.71,82.95,0.24,0
4/29/2020 6:00:00 AM,223.04,69.06,69.63,67,77.33,78.71,82.95,0.28,0
4/29/2020 5:00:00 AM,223.04,69.08,69.63,67,77.33,78.71,82.95,0.28,0
4/29/2020 4:00:00 AM,223.03,69.09,69.62,67,77.32,78.71,82.94,0.25,0
4/29/2020 3:00:00 AM,223.01,69.06,69.61,67,77.31,78.71,82.94,0.21,0
4/29/2020 2:00:00 AM,223.03,69.08,69.59,67,77.32,78.71,82.93,0.21,0
4/29/2020 1:00:00 AM,223.01,69.08,69.58,67,77.31,78.71,82.93,0.2,0
4/29/2020 12:00:00 AM,223,69.08,69.58,66.99,77.31,78.71,82.93,0.2,0
4/28/2020 11:00:00 PM,222.97,69.09,69.56,66.99,77.29,78.69,82.93,0.19,0
4/28/2020 9:00:00 PM,222.94,69.07,69.57,66.97,77.29,78.68,82.93,0.17,0
4/28/2020 8:00:00 PM,222.94,69.06,69.56,66.97,77.26,78.71,82.93,0.15,0
4/28/2020 3:00:00 PM,223.01,69.08,69.65,67.02,77.29,78.71,82.9,0.05,0
4/28/2020 5:00:00 AM,223.29,69.56,69.93,67.09,77.41,78.79,82.91,0.22,0
4/28/2020 4:00:00 AM,223.28,69.57,69.93,67.09,77.41,78.78,82.9,0.24,0
4/28/2020 2:00:00 AM,223.31,69.61,69.92,67.09,77.41,78.81,82.9,0.22,0
4/28/2020 12:00:00 AM,223.27,69.62,69.92,67.08,77.38,78.81,82.89,0.22,0
